analysis_index	analysis_id	source_analysis_id	source_label	analysis_label	trait_ontology_label	trait_ontology_id	trait_ontology_mapping_method	source_file	source_bundle_id	checksum	checksum_algorithm	size_bytes	source_genome_build	license	publication_doi	publication_pmid	consortium	first_author	source_ancestry_label	assigned_ancestry	ancestry_assignment_method	original_effect_scale	original_sd	original_sd_method	stored_effect_scale	sample_size_kind	sample_size_scope	sample_size	n_cases	n_controls	analysis_group_id	inclusion_reason	exclude_from_build
216	ukb-b-14977	ukb-b-14977	Bread consumed	Bread consumed			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-14977.vcf.gz				254856325	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	64949	55531	9418	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
217	ukb-b-14999	ukb-b-14999	Diagnoses - main ICD10: K92.2 Gastro-intestinal haemorrhage, unspecified	Diagnoses - main ICD10: K92.2 Gastro-intestinal haemorrhage, unspecified			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-14999.vcf.gz				71030640	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	463010	1449	461561	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
218	ukb-b-15003	ukb-b-15003	Diagnoses - main ICD10: L72.0 Epidermal cyst	Diagnoses - main ICD10: L72.0 Epidermal cyst			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-15003.vcf.gz				89450736	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	463010	1863	461147	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
219	ukb-b-15005	ukb-b-15005	Transport type for commuting to job workplace: Walk	Transport type for commuting to job workplace: Walk			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-15005.vcf.gz				238081022	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	245364	39105	206259	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
220	ukb-b-15021	ukb-b-15021	Operative procedures - main OPCS: X72.4 Delivery of subsequent element of cycle of chemotherapy for neoplasm	Operative procedures - main OPCS: X72.4 Delivery of subsequent element of cycle of chemotherapy for neoplasm			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-15021.vcf.gz				72150551	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	463010	1470	461540	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
221	ukb-b-15025	ukb-b-15025	Non-cancer illness code, self-reported: ovarian cyst or cysts	Non-cancer illness code, self-reported: ovarian cyst or cysts			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-15025.vcf.gz				133678338	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	462933	3877	459056	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
222	ukb-b-15026	ukb-b-15026	Diagnoses - secondary ICD10: M13.99 Arthritis, unspecified (Site unspecified)	Diagnoses - secondary ICD10: M13.99 Arthritis, unspecified (Site unspecified)			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-15026.vcf.gz				115211396	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	463010	2785	460225	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
223	ukb-b-1503	ukb-b-1503	Savoury biscuits intake	Savoury biscuits intake			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-1503.vcf.gz				261055418	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	64949			ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
224	ukb-b-15041	ukb-b-15041	Ever had breast cancer screening / mammogram	Ever had breast cancer screening / mammogram			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-15041.vcf.gz				290291131	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	250666	202216	48450	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
225	ukb-b-15071	ukb-b-15071	Types of spreads/sauces consumed: Cheese sauce	Types of spreads/sauces consumed: Cheese sauce			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-15071.vcf.gz				49375622	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	64949	1111	63838	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
226	ukb-b-15074	ukb-b-15074	Operative procedures - main OPCS: C12.4 Curettage of lesion of eyelid	Operative procedures - main OPCS: C12.4 Curettage of lesion of eyelid			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-15074.vcf.gz				72876568	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	463010	1484	461526	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
227	ukb-b-1508	ukb-b-1508	Operation code: knee surgery (not replacement)	Operation code: knee surgery (not replacement)			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-1508.vcf.gz				198287697	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	462933	15254	447679	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
228	ukb-b-15083	ukb-b-15083	Treatment speciality of consultant (recoded): Anaesthetics	Treatment speciality of consultant (recoded): Anaesthetics			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-15083.vcf.gz				110282158	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	444358	2566	441792	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
229	ukb-b-15084	ukb-b-15084	Operative procedures - main OPCS: R24.9 All normal delivery	Operative procedures - main OPCS: R24.9 All normal delivery			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-15084.vcf.gz				168934310	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	463010	7946	455064	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
230	ukb-b-15085	ukb-b-15085	Main speciality of consultant (recoded): Adult mental illness	Main speciality of consultant (recoded): Adult mental illness			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-15085.vcf.gz				115626475	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	461145	2801	458344	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
231	ukb-b-15094	ukb-b-15094	Canned soup intake	Canned soup intake			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-15094.vcf.gz				262044313	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	64943			ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
232	ukb-b-15096	ukb-b-15096	Operation code: tonsillectomy / tonsil surgery	Operation code: tonsillectomy / tonsil surgery			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-15096.vcf.gz				212084581	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	462933	20848	442085	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
233	ukb-b-151	ukb-b-151	Number of days/week of vigorous physical activity 10+ minutes	Number of days/week of vigorous physical activity 10+ minutes			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-151.vcf.gz				301566111	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	440512			ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
234	ukb-b-1511	ukb-b-1511	Operative procedures - main OPCS: H20.1 Fibreoptic endoscopic snare resection of lesion of colon	Operative procedures - main OPCS: H20.1 Fibreoptic endoscopic snare resection of lesion of colon			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-1511.vcf.gz				148919759	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	463010	5243	457767	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
235	ukb-b-15122	ukb-b-15122	Maximum digits remembered correctly	Maximum digits remembered correctly			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-15122.vcf.gz				245481012	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	48189			ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
236	ukb-b-15132	ukb-b-15132	Types of spread used on bread/crackers: Soya margarine on bread/crackers	Types of spread used on bread/crackers: Soya margarine on bread/crackers			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-15132.vcf.gz				45474179	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	64949	1065	63884	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
237	ukb-b-15136	ukb-b-15136	Non-cancer illness code, self-reported: uterine polyps	Non-cancer illness code, self-reported: uterine polyps			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-15136.vcf.gz				69014029	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	462933	1413	461520	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
238	ukb-b-1515	ukb-b-1515	Operative procedures - main OPCS: U08.1 Computed tomography of abdomen NEC	Operative procedures - main OPCS: U08.1 Computed tomography of abdomen NEC			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-1515.vcf.gz				45655038	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	463010	1073	461937	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
239	ukb-b-15151	ukb-b-15151	PCT where patients GP was registered: BRISTOL NORTH PCT	PCT where patients GP was registered: BRISTOL NORTH PCT			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-15151.vcf.gz				131064646	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	463010	3684	459326	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
240	ukb-b-15169	ukb-b-15169	Illnesses of father: None of the above (group 1)	Illnesses of father: None of the above (group 1)			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-15169.vcf.gz				283914825	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	402586	149610	252976	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
241	ukb-b-15175	ukb-b-15175	Vitamin and mineral supplements: Vitamin C	Vitamin and mineral supplements: Vitamin C			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-15175.vcf.gz				241392249	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	460351	39880	420471	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
242	ukb-b-15178	ukb-b-15178	Corneal resistance factor (right)	Corneal resistance factor (right)			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-15178.vcf.gz				274701146	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	97653			ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
243	ukb-b-15197	ukb-b-15197	PCT where patients GP was registered: NORTH SURREY PCT	PCT where patients GP was registered: NORTH SURREY PCT			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-15197.vcf.gz				52063680	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	463010	1152	461858	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
244	ukb-b-15200	ukb-b-15200	Operation code: mouth/salivary gland surgery	Operation code: mouth/salivary gland surgery			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-15200.vcf.gz				116438101	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	462933	2842	460091	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
245	ukb-b-15212	ukb-b-15212	Broad bean intake	Broad bean intake			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-15212.vcf.gz				261872262	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	64949			ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
246	ukb-b-15228	ukb-b-15228	PCT responsible for patient data: MIDDLESBROUGH PCT	PCT responsible for patient data: MIDDLESBROUGH PCT			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-15228.vcf.gz				79809214	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	463010	1627	461383	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
247	ukb-b-1523	ukb-b-1523	Heating type(s) in home: Electric storage heaters	Heating type(s) in home: Electric storage heaters			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-1523.vcf.gz				143544201	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	152863	4650	148213	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
248	ukb-b-15230	ukb-b-15230	Diagnoses - secondary ICD10: Z95.8 Presence of other cardiac and vascular implants and grafts	Diagnoses - secondary ICD10: Z95.8 Presence of other cardiac and vascular implants and grafts			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-15230.vcf.gz				42736864	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	463010	1034	461976	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
249	ukb-b-15245	ukb-b-15245	Treatment/medication code: alfuzosin	Treatment/medication code: alfuzosin			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-15245.vcf.gz				41465645	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	462933	1019	461914	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
250	ukb-b-15251	ukb-b-15251	Fracture resulting from simple fall	Fracture resulting from simple fall			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-15251.vcf.gz				220325727	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	43883	26126	17757	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
251	ukb-b-15268	ukb-b-15268	ECG, number of stages in a phase	ECG, number of stages in a phase			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-15268.vcf.gz				264563497	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	68426			ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
252	ukb-b-15272	ukb-b-15272	Ever manic/hyper for 2 days	Ever manic/hyper for 2 days			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-15272.vcf.gz				171642411	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	149144	8680	140464	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
253	ukb-b-15287	ukb-b-15287	Types of spreads/sauces consumed: Brown sauce	Types of spreads/sauces consumed: Brown sauce			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-15287.vcf.gz				86502490	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	64949	1782	63167	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
254	ukb-b-15297	ukb-b-15297	Reason for glasses/contact lenses: Other eye condition	Reason for glasses/contact lenses: Other eye condition			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-15297.vcf.gz				79262386	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	460536	1615	458921	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
255	ukb-b-15321	ukb-b-15321	Dried fruit intake	Dried fruit intake			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-15321.vcf.gz				262199990	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	64949			ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
256	ukb-b-15326	ukb-b-15326	Vitamin and/or mineral supplement use: Multivitamin with iron	Vitamin and/or mineral supplement use: Multivitamin with iron			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-15326.vcf.gz				80408055	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	64949	1628	63321	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
257	ukb-b-15336	ukb-b-15336	PCT where patients GP was registered: RICHMOND AND TWICKENHAM PCT	PCT where patients GP was registered: RICHMOND AND TWICKENHAM PCT			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-15336.vcf.gz				114506112	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	463010	2749	460261	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
258	ukb-b-15338	ukb-b-15338	PCT where patients GP was registered: HARTLEPOOL PCT	PCT where patients GP was registered: HARTLEPOOL PCT			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-15338.vcf.gz				51055976	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	463010	1139	461871	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
259	ukb-b-15340	ukb-b-15340	Diagnoses - secondary ICD10: K29.7 Gastritis, unspecified	Diagnoses - secondary ICD10: K29.7 Gastritis, unspecified			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-15340.vcf.gz				153226933	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	463010	5718	457292	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
260	ukb-b-15352	ukb-b-15352	Operative procedures - main OPCS: H23.1 Endoscopic snare resection of lesion of lower bowel using fibreoptic sigmoidoscope	Operative procedures - main OPCS: H23.1 Endoscopic snare resection of lesion of lower bowel using fibreoptic sigmoidoscope			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-15352.vcf.gz				68216299	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	463010	1399	461611	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
261	ukb-b-15357	ukb-b-15357	Operative procedures - main OPCS: A52.2 Therapeutic sacral epidural injection	Operative procedures - main OPCS: A52.2 Therapeutic sacral epidural injection			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-15357.vcf.gz				83282365	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	463010	1707	461303	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
262	ukb-b-15359	ukb-b-15359	PCT where patients GP was registered: WIRRAL PCT	PCT where patients GP was registered: WIRRAL PCT			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-15359.vcf.gz				131928583	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	463010	3747	459263	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
263	ukb-b-15363	ukb-b-15363	Operative procedures - secondary OPCS: R32.3 Repair of obstetric laceration of vagina and floor of pelvis	Operative procedures - secondary OPCS: R32.3 Repair of obstetric laceration of vagina and floor of pelvis			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-15363.vcf.gz				118358368	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	463010	2934	460076	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
264	ukb-b-15378	ukb-b-15378	Had other major operations	Had other major operations			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-15378.vcf.gz				286490608	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	248845	167188	81657	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
265	ukb-b-1539	ukb-b-1539	PCT where patients GP was registered: BROXTOWE AND HUCKNALL PCT	PCT where patients GP was registered: BROXTOWE AND HUCKNALL PCT			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-1539.vcf.gz				98257297	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	463010	2121	460889	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
266	ukb-b-15418	ukb-b-15418	Duration screen displayed	Duration screen displayed			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-15418.vcf.gz				285129978	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	152605			ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
267	ukb-b-15430	ukb-b-15430	Main speciality of consultant (recoded): Midwifery	Main speciality of consultant (recoded): Midwifery			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-15430.vcf.gz				82503991	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	461089	1688	459401	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
268	ukb-b-15440	ukb-b-15440	Operative procedures - secondary OPCS: R15.1 Medical induction of labour	Operative procedures - secondary OPCS: R15.1 Medical induction of labour			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-15440.vcf.gz				117916365	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	463010	2912	460098	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
269	ukb-b-15445	ukb-b-15445	Treatment/medication code: insulin product	Treatment/medication code: insulin product			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-15445.vcf.gz				141732119	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	462933	4537	458396	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
270	ukb-b-15453	ukb-b-15453	Operative procedures - secondary OPCS: Z85.6 Ankle joint	Operative procedures - secondary OPCS: Z85.6 Ankle joint			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-15453.vcf.gz				100220675	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	463010	2186	460824	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
271	ukb-b-15491	ukb-b-15491	Operative procedures - main OPCS: K45.3 Anastomosis of mammary artery to left anterior descending coronary artery	Operative procedures - main OPCS: K45.3 Anastomosis of mammary artery to left anterior descending coronary artery			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-15491.vcf.gz				105312191	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	463010	2368	460642	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
272	ukb-b-15508	ukb-b-15508	Fat removed from meat	Fat removed from meat			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-15508.vcf.gz				197017040	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	16902	15643	1259	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
273	ukb-b-15527	ukb-b-15527	Operation code: squint correction	Operation code: squint correction			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-15527.vcf.gz				156492286	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	462933	6117	456816	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
274	ukb-b-15528	ukb-b-15528	PCT where patients GP was registered: OLDHAM PCT	PCT where patients GP was registered: OLDHAM PCT			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-15528.vcf.gz				112393674	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	463010	2658	460352	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
