analysis_index	analysis_id	source_analysis_id	source_label	analysis_label	trait_ontology_label	trait_ontology_id	trait_ontology_mapping_method	source_file	source_bundle_id	checksum	checksum_algorithm	size_bytes	source_genome_build	license	publication_doi	publication_pmid	consortium	first_author	source_ancestry_label	assigned_ancestry	ancestry_assignment_method	original_effect_scale	original_sd	original_sd_method	stored_effect_scale	sample_size_kind	sample_size_scope	sample_size	n_cases	n_controls	analysis_group_id	inclusion_reason	exclude_from_build
12	ukb-b-13478	ukb-b-13478	Treatment/medication code: citalopram	Treatment/medication code: citalopram			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-13478.vcf.gz				168724985	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	462933	7923	455010	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
13	ukb-b-13480	ukb-b-13480	Treatment/medication code: food supplement/plant/herbal extract	Treatment/medication code: food supplement/plant/herbal extract			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-13480.vcf.gz				84540330	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	462933	1737	461196	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
14	ukb-b-13488	ukb-b-13488	Treatment/medication code: perindopril	Treatment/medication code: perindopril			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-13488.vcf.gz				160311705	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	462933	6621	456312	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
15	ukb-b-1350	ukb-b-1350	Main speciality of consultant (recoded): Accident and emergency (A&E)	Main speciality of consultant (recoded): Accident and emergency (A&E)			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-1350.vcf.gz				201758101	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	461251	16509	444742	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
16	ukb-b-13501	ukb-b-13501	Mean signal-to-noise ratio (SNR), (left)	Mean signal-to-noise ratio (SNR), (left)			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-13501.vcf.gz				284403119	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	148579			ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
17	ukb-b-13506	ukb-b-13506	3mm weak meridian (right)	3mm weak meridian (right)			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-13506.vcf.gz				274311974	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	96007			ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
18	ukb-b-13513	ukb-b-13513	Non-cancer illness code, self-reported: appendicitis	Non-cancer illness code, self-reported: appendicitis			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-13513.vcf.gz				134188417	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	462933	3919	459014	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
19	ukb-b-13516	ukb-b-13516	Scotch egg intake	Scotch egg intake			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-13516.vcf.gz				262945265	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	64949			ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
20	ukb-b-13517	ukb-b-13517	Diagnoses - main ICD10: M72.0 Palmar fascial fibromatosis [Dupuytren]	Diagnoses - main ICD10: M72.0 Palmar fascial fibromatosis [Dupuytren]			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-13517.vcf.gz				66317146	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	463010	1366	461644	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
21	ukb-b-13525	ukb-b-13525	Diagnoses - secondary ICD10: I34.0 Mitral (valve) insufficiency	Diagnoses - secondary ICD10: I34.0 Mitral (valve) insufficiency			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-13525.vcf.gz				41632338	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	463010	1021	461989	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
22	ukb-b-13532	ukb-b-13532	Non-cancer illness code, self-reported: thyroid problem (not cancer)	Non-cancer illness code, self-reported: thyroid problem (not cancer)			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-13532.vcf.gz				56300732	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	462933	1210	461723	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
23	ukb-b-13535	ukb-b-13535	Non-cancer illness code, self-reported: gestational hypertension/pre-eclampsia	Non-cancer illness code, self-reported: gestational hypertension/pre-eclampsia			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-13535.vcf.gz				89485222	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	462933	1864	461069	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
24	ukb-b-13537	ukb-b-13537	Operation code: percutaneous/open kidney stone surgery/lithotripsy	Operation code: percutaneous/open kidney stone surgery/lithotripsy			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-13537.vcf.gz				112104725	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	462933	2645	460288	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
