analysis_index	analysis_id	source_analysis_id	source_label	analysis_label	trait_ontology_label	trait_ontology_id	trait_ontology_mapping_method	source_file	source_url	source_bundle_id	filtered_file	checksum	checksum_algorithm	size_bytes	source_genome_build	license	publication_doi	publication_pmid	consortium	first_author	source_ancestry_label	assigned_ancestry	ancestry_assignment_method	original_effect_scale	original_sd	original_sd_method	stored_effect_scale	sample_size_kind	sample_size_scope	sample_size	n_cases	n_controls	analysis_group_id	inclusion_reason	exclude_from_build	tissue	context
135	GCST90199756	GCST90199756	1,7-dimethyluric acid levels	1,7-dimethyluric acid levels	1,7-dimethylurate measurement	EFO:0021512	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-european/filtered/GCST90199756_GCST90199756.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199756/harmonised/GCST90199756.h.tsv.gz		GCST90199756_GCST90199756.filtered.tsv.gz	c34373adc280a5180b1e6de9e741160fab65de16cb27fe8e6c8b865deff26841	sha256	3055526	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	0.997903861670699	estimated_from_source_maf	sd	total	analysis_level	7950	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
136	GCST90199757	GCST90199757	1,3,7-trimethylurate levels	1,3,7-trimethylurate levels	1,3,7-trimethylurate measurement	EFO:0021172	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-european/filtered/GCST90199757_GCST90199757.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199757/harmonised/GCST90199757.h.tsv.gz		GCST90199757_GCST90199757.filtered.tsv.gz	691ec84f169d16a1fe595aedcf40ecca0a73b12da2499ff031ea39453a1afe10	sha256	2102629	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	1.00299166202205	estimated_from_source_maf	sd	total	analysis_level	7446	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
137	GCST90199758	GCST90199758	N4-acetylcytidine levels	N4-acetylcytidine levels	N4-acetylcytidine measurement	EFO:0800628	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-european/filtered/GCST90199758_GCST90199758.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199758/harmonised/GCST90199758.h.tsv.gz		GCST90199758_GCST90199758.filtered.tsv.gz	a6aec4582b52f5516e240061a32689e49db3325f5361a928c6182ed67227602d	sha256	1715930	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	0.962337908193339	estimated_from_source_maf	sd	total	analysis_level	7425	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
138	GCST90199759	GCST90199759	Indolebutyrate levels	Indolebutyrate levels	3-Indolebutyric acid measurement	EFO:0021559	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-european/filtered/GCST90199759_GCST90199759.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199759/harmonised/GCST90199759.h.tsv.gz		GCST90199759_GCST90199759.filtered.tsv.gz	520d4bdd9587f746f74eef813b39c7890d2d08aa20e9a87bbddb88862f71d1dd	sha256	803151	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	0.984737981513043	estimated_from_source_maf	sd	total	analysis_level	4423	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
139	GCST90199760	GCST90199760	5-acetylamino-6-amino-3-methyluracil levels	5-acetylamino-6-amino-3-methyluracil levels	5-acetylamino-6-amino-3-methyluracil measurement	EFO:0800951	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-european/filtered/GCST90199760_GCST90199760.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199760/harmonised/GCST90199760.h.tsv.gz		GCST90199760_GCST90199760.filtered.tsv.gz	c6ad76aaf75d3086a0d2e0bdfa7221c9fcd4c2633f316819a97640804a8c0f1d	sha256	1863772	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	1.00247632739001	estimated_from_source_maf	sd	total	analysis_level	8006	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
140	GCST90199761	GCST90199761	N1-methylinosine levels	N1-methylinosine levels	N1-methylinosine measurement	EFO:0800627	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-european/filtered/GCST90199761_GCST90199761.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199761/harmonised/GCST90199761.h.tsv.gz		GCST90199761_GCST90199761.filtered.tsv.gz	47394ca84acf0aa6fa56f28da755411439499cf7633da97fa2b6bc38e459cb53	sha256	508974	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	0.931427369501113	estimated_from_source_maf	sd	total	analysis_level	8147	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
141	GCST90199762	GCST90199762	N6-carbamoylthreonyladenosine levels	N6-carbamoylthreonyladenosine levels	N6-carbamoylthreonyladenosine measurement	EFO:0800629	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-european/filtered/GCST90199762_GCST90199762.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199762/harmonised/GCST90199762.h.tsv.gz		GCST90199762_GCST90199762.filtered.tsv.gz	061df37f605d3a7fb11b423e152257b0afe1eaf19511af3adc91c5ee4a83b008	sha256	1737630	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	0.910892380240081	estimated_from_source_maf	sd	total	analysis_level	8176	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
142	GCST90199763	GCST90199763	1-methylxanthine levels	1-methylxanthine levels	1-methylxanthine measurement	EFO:0021174	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-european/filtered/GCST90199763_GCST90199763.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199763/harmonised/GCST90199763.h.tsv.gz		GCST90199763_GCST90199763.filtered.tsv.gz	7b5837d11b432bf4e627e6e90297f4012cba7d01a553620cb82a0fd5b953ef2f	sha256	2243827	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	0.998984711609887	estimated_from_source_maf	sd	total	analysis_level	7959	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
143	GCST90199764	GCST90199764	N2,n2-dimethylguanosine levels	N2,n2-dimethylguanosine levels	N2,N2-dimethylguanosine measurement	EFO:0021125	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-european/filtered/GCST90199764_GCST90199764.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199764/harmonised/GCST90199764.h.tsv.gz		GCST90199764_GCST90199764.filtered.tsv.gz	4b5695f9dacd8cf1fe4968ecba52246534e4278a60c0da96685d9ccffb16042e	sha256	812502	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	0.912457823634964	estimated_from_source_maf	sd	total	analysis_level	8210	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
144	GCST90199765	GCST90199765	4-hydroxyhippurate levels	4-hydroxyhippurate levels	4-hydroxyhippurate measurement	EFO:0021508	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-european/filtered/GCST90199765_GCST90199765.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199765/harmonised/GCST90199765.h.tsv.gz		GCST90199765_GCST90199765.filtered.tsv.gz	983b78718e7f2cd159d1b50cdd768eaf61258bb5957fe07bf9aad93a2eec1465	sha256	232585	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	0.966431513696358	estimated_from_source_maf	sd	total	analysis_level	8259	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
