analysis_index	analysis_id	source_analysis_id	source_label	analysis_label	trait_ontology_label	trait_ontology_id	trait_ontology_mapping_method	source_file	source_url	source_bundle_id	filtered_file	checksum	checksum_algorithm	size_bytes	source_genome_build	license	publication_doi	publication_pmid	consortium	first_author	source_ancestry_label	assigned_ancestry	ancestry_assignment_method	original_effect_scale	original_sd	original_sd_method	stored_effect_scale	sample_size_kind	sample_size_scope	sample_size	n_cases	n_controls	analysis_group_id	inclusion_reason	exclude_from_build	tissue	context
0	GCST90199621	GCST90199621	Carnitine levels	Carnitine levels	carnitine measurement	EFO:0010469	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-european/filtered/GCST90199621_GCST90199621.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199621/harmonised/GCST90199621.h.tsv.gz		GCST90199621_GCST90199621.filtered.tsv.gz	f9d7ca2a71131cb3d50b6b0c30ff99816c43ef66bb0b7ce6b419d0bdc951398a	sha256	1976518	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	0.984008520611909	estimated_from_source_maf	sd	total	analysis_level	8192	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
1	GCST90199622	GCST90199622	Benzoate levels	Benzoate levels	benzoate measurement	EFO:0021150	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-european/filtered/GCST90199622_GCST90199622.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199622/harmonised/GCST90199622.h.tsv.gz		GCST90199622_GCST90199622.filtered.tsv.gz	89249bcafc37756d330e1eae3ae1a2929cca77860a360c011c4be00780f035af	sha256	1021894	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	0.990642661803338	estimated_from_source_maf	sd	total	analysis_level	7306	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
2	GCST90199623	GCST90199623	Maltotriose levels	Maltotriose levels	maltotriose measurement	EFO:0800142	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-european/filtered/GCST90199623_GCST90199623.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199623/harmonised/GCST90199623.h.tsv.gz		GCST90199623_GCST90199623.filtered.tsv.gz	9911230b5c6824aba4c0e7083ad35babfa1425190d3099d850f4bf598d5fb3ca	sha256	483934	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	1.00085681083083	estimated_from_source_maf	sd	total	analysis_level	4641	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
3	GCST90199624	GCST90199624	Hippurate levels	Hippurate levels	hippurate measurement	EFO:0010992	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-european/filtered/GCST90199624_GCST90199624.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199624/harmonised/GCST90199624.h.tsv.gz		GCST90199624_GCST90199624.filtered.tsv.gz	95031f90cb4973729c98dea6e623ed6549757ef1f1e4a5a2055e064024a22e92	sha256	232441	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	0.988960781282691	estimated_from_source_maf	sd	total	analysis_level	8260	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
4	GCST90199625	GCST90199625	Methionine sulfoxide levels	Methionine sulfoxide levels	Methionine sulfoxide measurement	EFO:0021650	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-european/filtered/GCST90199625_GCST90199625.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199625/harmonised/GCST90199625.h.tsv.gz		GCST90199625_GCST90199625.filtered.tsv.gz	17949c4b9442224a49234b3b24c093da1bff0b5d392e6ff3751846465da4d134	sha256	233506	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	0.997649955763056	estimated_from_source_maf	sd	total	analysis_level	8243	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
5	GCST90199626	GCST90199626	Xanthurenate levels	Xanthurenate levels	xanthurenate measurement	EFO:0010551	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-european/filtered/GCST90199626_GCST90199626.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199626/harmonised/GCST90199626.h.tsv.gz		GCST90199626_GCST90199626.filtered.tsv.gz	5eefdf98ff15582ce4363a63867ae44969a37b3c419c47cfe21badd9f7433a8a	sha256	1490977	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	0.982046930442918	estimated_from_source_maf	sd	total	analysis_level	7965	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
6	GCST90199627	GCST90199627	N-alpha-acetylornithine levels	N-alpha-acetylornithine levels	N-alpha-acetylornithine measurement	EFO:0800006	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-european/filtered/GCST90199627_GCST90199627.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199627/harmonised/GCST90199627.h.tsv.gz		GCST90199627_GCST90199627.filtered.tsv.gz	6f89a73d8b2f84cbe5e06c0f00364e186ad2c557912089a54eb56e4f31bb2c82	sha256	494617	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	0.979909665432849	estimated_from_source_maf	sd	total	analysis_level	5606	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
7	GCST90199628	GCST90199628	3-methylhistidine levels	3-methylhistidine levels	3-methylhistidine measurement	EFO:0021004	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-european/filtered/GCST90199628_GCST90199628.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199628/harmonised/GCST90199628.h.tsv.gz		GCST90199628_GCST90199628.filtered.tsv.gz	7269da413a960e2de1617868c2a9ab366208b33771ea050ad7d4339a721331b0	sha256	232977	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	0.992438797371119	estimated_from_source_maf	sd	total	analysis_level	8289	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
8	GCST90199629	GCST90199629	Glycerophosphorylcholine (GPC) levels	Glycerophosphorylcholine (GPC) levels	glycerophosphorylcholine measurement	EFO:0020018	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-european/filtered/GCST90199629_GCST90199629.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199629/harmonised/GCST90199629.h.tsv.gz		GCST90199629_GCST90199629.filtered.tsv.gz	de5ffd064809833364e89175c053c4918613a4fecbf619df4533f6a66cfae5d5	sha256	512588	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	0.983098006783259	estimated_from_source_maf	sd	total	analysis_level	8212	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
9	GCST90199630	GCST90199630	Phenylacetate levels	Phenylacetate levels	phenylacetate measurement	EFO:0021012	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-european/filtered/GCST90199630_GCST90199630.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199630/harmonised/GCST90199630.h.tsv.gz		GCST90199630_GCST90199630.filtered.tsv.gz	f8401074c4daeb9527dd1ccd05cf469cfa57c5877a66f5210b2eaf42954f322e	sha256	473411	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	0.972089742941211	estimated_from_source_maf	sd	total	analysis_level	7059	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
10	GCST90199631	GCST90199631	3-methyl-2-oxovalerate levels	3-methyl-2-oxovalerate levels	3-methyl-2-oxovalerate measurement	EFO:0021021	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-european/filtered/GCST90199631_GCST90199631.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199631/harmonised/GCST90199631.h.tsv.gz		GCST90199631_GCST90199631.filtered.tsv.gz	afb4c0d0d45c045a91cba3be305c851a756e191f905f7906e92be7f643abc983	sha256	508752	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	0.962233071690611	estimated_from_source_maf	sd	total	analysis_level	8257	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
11	GCST90199632	GCST90199632	Tartarate levels	Tartarate levels	tartarate measurement	EFO:0800941	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-european/filtered/GCST90199632_GCST90199632.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199632/harmonised/GCST90199632.h.tsv.gz		GCST90199632_GCST90199632.filtered.tsv.gz	464d8e69e822902307764e347d5bca5fccc9f095b8e74497c1bda1f552ad8070	sha256	858622	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	0.996967802678634	estimated_from_source_maf	sd	total	analysis_level	7099	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
12	GCST90199633	GCST90199633	Suberate (C8-DC) levels	Suberate (C8-DC) levels	suberate (C8-DC) measurement	EFO:0800181	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-european/filtered/GCST90199633_GCST90199633.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199633/harmonised/GCST90199633.h.tsv.gz		GCST90199633_GCST90199633.filtered.tsv.gz	888a898a8999be30c6e4819fe40872fc04474e756d829b1fa05a39151b105196	sha256	233830	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	0.980967930053126	estimated_from_source_maf	sd	total	analysis_level	6902	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
13	GCST90199634	GCST90199634	5-hydroxylysine levels	5-hydroxylysine levels	5-hydroxylysine measurement	EFO:0800002	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-european/filtered/GCST90199634_GCST90199634.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199634/harmonised/GCST90199634.h.tsv.gz		GCST90199634_GCST90199634.filtered.tsv.gz	4ae44933c972654674584129c026d6406f454d398dd5a03c22ee69d377697ea3	sha256	1951261	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	0.980077718216893	estimated_from_source_maf	sd	total	analysis_level	8128	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
14	GCST90199635	GCST90199635	3-phenylpropionate hydrocinnamate levels	3-phenylpropionate hydrocinnamate levels	3-phenylpropionate hydrocinnamate measurement	EFO:0021010	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-european/filtered/GCST90199635_GCST90199635.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199635/harmonised/GCST90199635.h.tsv.gz		GCST90199635_GCST90199635.filtered.tsv.gz	4e963ac9906ea46157ff6e96511ef4064fa43bdaadc8e2368cd9ecbc27ca71ec	sha256	844628	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	0.986278877434301	estimated_from_source_maf	sd	total	analysis_level	7925	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
15	GCST90199636	GCST90199636	Kynurenine levels	Kynurenine levels	kynurenine measurement	EFO:0008529	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-european/filtered/GCST90199636_GCST90199636.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199636/harmonised/GCST90199636.h.tsv.gz		GCST90199636_GCST90199636.filtered.tsv.gz	97ba1f5e9c4fb34f9c580bd60f63efb54062c79c1cc1aedfb2059129807193ab	sha256	1600765	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	0.951944160316283	estimated_from_source_maf	sd	total	analysis_level	8244	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
16	GCST90199637	GCST90199637	N-acetylglutamate levels	N-acetylglutamate levels	N-acetylglutamate measurement	EFO:0800005	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-european/filtered/GCST90199637_GCST90199637.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199637/harmonised/GCST90199637.h.tsv.gz		GCST90199637_GCST90199637.filtered.tsv.gz	1254ea3a6da2e10fae181ab339abf074a3672dd01b7172bdd6e9b4852cee995e	sha256	1365357	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	0.965525267487665	estimated_from_source_maf	sd	total	analysis_level	7802	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
17	GCST90199638	GCST90199638	Glycerol 3-phosphate levels	Glycerol 3-phosphate levels	glycerol-3-phosphate measurement	EFO:0010488	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-european/filtered/GCST90199638_GCST90199638.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199638/harmonised/GCST90199638.h.tsv.gz		GCST90199638_GCST90199638.filtered.tsv.gz	4ec326f354da610606e636a99eb284b5e443428db70e24543942c6af523b76ef	sha256	982839	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	0.997840191533867	estimated_from_source_maf	sd	total	analysis_level	8201	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
18	GCST90199639	GCST90199639	Imidazole lactate levels	Imidazole lactate levels	imidazole lactate measurement	EFO:0800004	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-european/filtered/GCST90199639_GCST90199639.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199639/harmonised/GCST90199639.h.tsv.gz		GCST90199639_GCST90199639.filtered.tsv.gz	014756552ccd889a211615eae06d8801f0b5e264e82dd6bf09badb6b997891be	sha256	2369671	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	0.976155015261984	estimated_from_source_maf	sd	total	analysis_level	8256	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
19	GCST90199640	GCST90199640	4-guanidinobutanoate levels	4-guanidinobutanoate levels	4-guanidinobutanoate measurement	EFO:0800003	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-european/filtered/GCST90199640_GCST90199640.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199640/harmonised/GCST90199640.h.tsv.gz		GCST90199640_GCST90199640.filtered.tsv.gz	3d8eda39a451bacbc16602f0fad2a08e9512356f5f0a1b240d93a6f1c9a4afff	sha256	841007	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	0.955761738587928	estimated_from_source_maf	sd	total	analysis_level	8144	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
20	GCST90199641	GCST90199641	Glucuronate levels	Glucuronate levels	glucuronate measurement	EFO:0010486	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-european/filtered/GCST90199641_GCST90199641.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199641/harmonised/GCST90199641.h.tsv.gz		GCST90199641_GCST90199641.filtered.tsv.gz	5ac1fcafea6576508bc87cf50e665c42db32b2bc66c23fc631aa0903f41df46c	sha256	1264315	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	0.971080344132028	estimated_from_source_maf	sd	total	analysis_level	7988	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
21	GCST90199642	GCST90199642	Ribitol levels	Ribitol levels	ribitol measurement	EFO:0800143	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-european/filtered/GCST90199642_GCST90199642.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199642/harmonised/GCST90199642.h.tsv.gz		GCST90199642_GCST90199642.filtered.tsv.gz	02e264f9fc7c5905c44b5dd40202587727dace8ed873295008371a0caf62f258	sha256	915285	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	0.984931274027872	estimated_from_source_maf	sd	total	analysis_level	8128	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
22	GCST90199643	GCST90199643	Glycodeoxycholate levels	Glycodeoxycholate levels	glycodeoxycholate measurement	EFO:0010493	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-european/filtered/GCST90199643_GCST90199643.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199643/harmonised/GCST90199643.h.tsv.gz		GCST90199643_GCST90199643.filtered.tsv.gz	03abd76fe5a784ff02177b4ce168ae015f95aa9f7491a82efb2d48a90c0f0bc4	sha256	232443	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	0.996293174127257	estimated_from_source_maf	sd	total	analysis_level	6877	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
23	GCST90199644	GCST90199644	Theobromine levels	Theobromine levels	theobromine measurement	EFO:0021179	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-european/filtered/GCST90199644_GCST90199644.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199644/harmonised/GCST90199644.h.tsv.gz		GCST90199644_GCST90199644.filtered.tsv.gz	5fa643e9901f6a59c545d72dfdbe9ce96b49935461a71760fae2faa58fa6855d	sha256	689829	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	0.997334922731536	estimated_from_source_maf	sd	total	analysis_level	8137	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
24	GCST90199645	GCST90199645	Quinate levels	Quinate levels	quinate measurement	EFO:0021167	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-european/filtered/GCST90199645_GCST90199645.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199645/harmonised/GCST90199645.h.tsv.gz		GCST90199645_GCST90199645.filtered.tsv.gz	5ab7df97d477703fd36271f22ce75538e8a4a7bb5345147516bac7d40dbb6aab	sha256	1371483	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	0.995483034273159	estimated_from_source_maf	sd	total	analysis_level	8200	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
25	GCST90199646	GCST90199646	Gentisate levels	Gentisate levels	gentisate measurement	EFO:0800007	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-european/filtered/GCST90199646_GCST90199646.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199646/harmonised/GCST90199646.h.tsv.gz		GCST90199646_GCST90199646.filtered.tsv.gz	9154391af17fafa43992defc66a63f28057650f1218adccbaf7c986356f4fd6f	sha256	582883	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	0.977489026238889	estimated_from_source_maf	sd	total	analysis_level	8013	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
26	GCST90199647	GCST90199647	Theophylline levels	Theophylline levels	theophylline measurement	EFO:0021180	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-european/filtered/GCST90199647_GCST90199647.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199647/harmonised/GCST90199647.h.tsv.gz		GCST90199647_GCST90199647.filtered.tsv.gz	ced382cbddfab2b3fb4e61c5b09cb56009c88f8a9f591dc4acd7b691d9922cfc	sha256	1054898	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	1.00168431119731	estimated_from_source_maf	sd	total	analysis_level	7822	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
27	GCST90199648	GCST90199648	1,5-anhydroglucitol (1,5-ag) levels	1,5-anhydroglucitol (1,5-ag) levels	1,5 anhydroglucitol measurement	EFO:0008009	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-european/filtered/GCST90199648_GCST90199648.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199648/harmonised/GCST90199648.h.tsv.gz		GCST90199648_GCST90199648.filtered.tsv.gz	75bd4ed4620a64f22643422123b22278e2519ba3a9d44769cd1992d97d11df52	sha256	3420639	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	0.975355926842548	estimated_from_source_maf	sd	total	analysis_level	8139	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
28	GCST90199649	GCST90199649	1-stearoyl-2-arachidonoyl-GPI (18:0/20:4) levels	1-stearoyl-2-arachidonoyl-GPI (18:0/20:4) levels	1-stearoyl-2-arachidonoyl-GPI (18:0/20:4) measurement	EFO:0800184	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-european/filtered/GCST90199649_GCST90199649.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199649/harmonised/GCST90199649.h.tsv.gz		GCST90199649_GCST90199649.filtered.tsv.gz	14422450b649f32e7655a7b090b36855c09f2cf35c837ba97857de73385e3258	sha256	3120616	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	0.974224330555134	estimated_from_source_maf	sd	total	analysis_level	8134	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
29	GCST90199650	GCST90199650	Indolelactate levels	Indolelactate levels	indolelactate measurement	EFO:0020012	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-european/filtered/GCST90199650_GCST90199650.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199650/harmonised/GCST90199650.h.tsv.gz		GCST90199650_GCST90199650.filtered.tsv.gz	d02364cdbf3f41de3a14f8a05190da1050c0f615552932cc94a4a6ba3b26f715	sha256	1211819	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	0.918474326839881	estimated_from_source_maf	sd	total	analysis_level	8233	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
30	GCST90199651	GCST90199651	Docosahexaenoate DHA; 22:6n3 levels	Docosahexaenoate DHA; 22:6n3 levels	docosahexaenoate DHA; 22:6n3 measurement	EFO:0021047	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-european/filtered/GCST90199651_GCST90199651.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199651/harmonised/GCST90199651.h.tsv.gz		GCST90199651_GCST90199651.filtered.tsv.gz	2e8872b2b41e85311d4f6ab9ce787b96c266d4f5b4a3980cce50540d44369700	sha256	481038	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	0.950282922325854	estimated_from_source_maf	sd	total	analysis_level	8279	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
31	GCST90199652	GCST90199652	1-stearoyl-2-oleoyl-GPS (18:0/18:1) levels	1-stearoyl-2-oleoyl-GPS (18:0/18:1) levels	1-stearoyl-2-oleoyl-GPS (18:0/18:1) measurement	EFO:0800187	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-european/filtered/GCST90199652_GCST90199652.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199652/harmonised/GCST90199652.h.tsv.gz		GCST90199652_GCST90199652.filtered.tsv.gz	0db88c5e617f07b3f7f459f72e648057f81486eb2c5d87f20f19f397b1a975d3	sha256	496280	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	0.991936104219872	estimated_from_source_maf	sd	total	analysis_level	8055	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
