analysis_id	source_analysis_id	study_design	category	reason	detail	resolver_status	exclude_from_build
GCST011330	GCST011330	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST011331	GCST011331	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST011332	GCST011332	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST011333	GCST011333	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST011334	GCST011334	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST011335	GCST011335	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST011336	GCST011336	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST011337	GCST011337	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST011338	GCST011338	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST011339	GCST011339	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST011340	GCST011340	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST011341	GCST011341	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST011342	GCST011342	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST011343	GCST011343	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST011344	GCST011344	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST011833	GCST011833	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST011834	GCST011834	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST011887	GCST011887	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST011889	GCST011889	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST012431	GCST012431	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST012597	GCST012597	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90000014	GCST90000014	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90000015	GCST90000015	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90000016	GCST90000016	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90000045	GCST90000045	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90000046	GCST90000046	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90000047	GCST90000047	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90000048	GCST90000048	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90000049	GCST90000049	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90000050	GCST90000050	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90000060	GCST90000060	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90000064	GCST90000064	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90000255	GCST90000255	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90000256	GCST90000256	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90000296	GCST90000296	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90000437	GCST90000437	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90000438	GCST90000438	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90000439	GCST90000439	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90000440	GCST90000440	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90000441	GCST90000441	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90000442	GCST90000442	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90000443	GCST90000443	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90000444	GCST90000444	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90000445	GCST90000445	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90000446	GCST90000446	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90000447	GCST90000447	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90000448	GCST90000448	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90000449	GCST90000449	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90000450	GCST90000450	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90000451	GCST90000451	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90000452	GCST90000452	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90000453	GCST90000453	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90000454	GCST90000454	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90000455	GCST90000455	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90000456	GCST90000456	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90000457	GCST90000457	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90000458	GCST90000458	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90000459	GCST90000459	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90000460	GCST90000460	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90000461	GCST90000461	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90000462	GCST90000462	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90000463	GCST90000463	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90000464	GCST90000464	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90000465	GCST90000465	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90000466	GCST90000466	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90000467	GCST90000467	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90000468	GCST90000468	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90000469	GCST90000469	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90000470	GCST90000470	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90000471	GCST90000471	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90000472	GCST90000472	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90000473	GCST90000473	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90000474	GCST90000474	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90000475	GCST90000475	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90000476	GCST90000476	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90000477	GCST90000477	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90000478	GCST90000478	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90000479	GCST90000479	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90000480	GCST90000480	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90000481	GCST90000481	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90000482	GCST90000482	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90000483	GCST90000483	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90000484	GCST90000484	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90000485	GCST90000485	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90000486	GCST90000486	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90000487	GCST90000487	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90000488	GCST90000488	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90000489	GCST90000489	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90000490	GCST90000490	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90000491	GCST90000491	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90000492	GCST90000492	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90000493	GCST90000493	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90000494	GCST90000494	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90000495	GCST90000495	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90000496	GCST90000496	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90000497	GCST90000497	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90000498	GCST90000498	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90000499	GCST90000499	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90000500	GCST90000500	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90000501	GCST90000501	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90000502	GCST90000502	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90000503	GCST90000503	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90000504	GCST90000504	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90000505	GCST90000505	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90000506	GCST90000506	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90000512	GCST90000512	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90000513	GCST90000513	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90000529	GCST90000529	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90000584	GCST90000584	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90000654	GCST90000654	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90001389	GCST90001389	case-control	ancestry	ancestry_unassigned	gate_reason=residual	success	true
GCST90002409	GCST90002409	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90006790	GCST90006790	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90006791	GCST90006791	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90010423	GCST90010423	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90010715	GCST90010715	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90011766	GCST90011766	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90011767	GCST90011767	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90011770	GCST90011770	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90011804	GCST90011804	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90011806	GCST90011806	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90011808	GCST90011808	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90011809	GCST90011809	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90011810	GCST90011810	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90011811	GCST90011811	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90011812	GCST90011812	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90011813	GCST90011813	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90011814	GCST90011814	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90011815	GCST90011815	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90011816	GCST90011816	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90011817	GCST90011817	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90011818	GCST90011818	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90011819	GCST90011819	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90011820	GCST90011820	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90011821	GCST90011821	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90011874	GCST90011874	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90011875	GCST90011875	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90011885	GCST90011885	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90011898	GCST90011898	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90011899	GCST90011899	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90012003	GCST90012003	quantitative	ancestry	ancestry_unassigned	gate_reason=residual	success	true
GCST90012088	GCST90012088	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90012115	GCST90012115	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90012174	GCST90012174	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90012175	GCST90012175	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90012176	GCST90012176	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90012177	GCST90012177	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90012178	GCST90012178	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90012179	GCST90012179	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90012180	GCST90012180	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90012181	GCST90012181	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90012182	GCST90012182	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90012183	GCST90012183	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90012184	GCST90012184	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90012185	GCST90012185	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90012186	GCST90012186	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90012187	GCST90012187	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90012188	GCST90012188	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90012189	GCST90012189	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90012190	GCST90012190	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90012191	GCST90012191	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90012192	GCST90012192	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90012193	GCST90012193	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90012194	GCST90012194	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90012195	GCST90012195	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90012196	GCST90012196	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90012197	GCST90012197	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90012198	GCST90012198	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90012199	GCST90012199	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90012200	GCST90012200	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90012201	GCST90012201	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90012202	GCST90012202	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90013411	GCST90013411	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90013414	GCST90013414	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90013421	GCST90013421	quantitative	effect_scale	sd_no_qualifying_evidence	no_qualifying_evidence	success	true
GCST90013423	GCST90013423	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90013442	GCST90013442	case-control	ancestry	ancestry_unassigned	gate_reason=residual	success	true
GCST90013445	GCST90013445	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90013446	GCST90013446	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90013473	GCST90013473	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90013537	GCST90013537	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90013538	GCST90013538	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90013539	GCST90013539	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90013540	GCST90013540	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90013541	GCST90013541	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90013542	GCST90013542	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90013543	GCST90013543	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90013544	GCST90013544	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90013545	GCST90013545	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90013546	GCST90013546	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90013547	GCST90013547	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90013548	GCST90013548	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90013549	GCST90013549	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90013550	GCST90013550	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90013551	GCST90013551	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90013552	GCST90013552	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90013553	GCST90013553	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90013554	GCST90013554	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90013555	GCST90013555	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90013556	GCST90013556	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90013557	GCST90013557	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90013558	GCST90013558	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90013559	GCST90013559	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90013560	GCST90013560	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90013561	GCST90013561	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90013562	GCST90013562	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90013563	GCST90013563	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90013564	GCST90013564	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90013565	GCST90013565	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90013566	GCST90013566	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90013567	GCST90013567	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90013568	GCST90013568	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90013569	GCST90013569	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90013570	GCST90013570	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90013571	GCST90013571	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90013572	GCST90013572	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90013573	GCST90013573	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90013574	GCST90013574	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90013575	GCST90013575	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90013576	GCST90013576	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90013577	GCST90013577	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90013578	GCST90013578	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90013579	GCST90013579	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90013580	GCST90013580	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90013581	GCST90013581	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90013582	GCST90013582	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90013658	GCST90013658	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90013662	GCST90013662	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90013663	GCST90013663	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90013664	GCST90013664	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90014054	GCST90014054	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90014122	GCST90014122	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90014268	GCST90014268	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90016585	GCST90016585	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90016586	GCST90016586	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90016587	GCST90016587	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90016588	GCST90016588	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90016589	GCST90016589	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90016590	GCST90016590	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90016591	GCST90016591	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90016592	GCST90016592	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90016593	GCST90016593	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90016594	GCST90016594	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90017147	GCST90017147	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90017148	GCST90017148	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90019016	GCST90019016	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90019017	GCST90019017	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90019492	GCST90019492	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90019493	GCST90019493	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90019494	GCST90019494	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90019495	GCST90019495	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90019496	GCST90019496	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90019497	GCST90019497	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90019498	GCST90019498	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90019499	GCST90019499	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90019500	GCST90019500	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90019501	GCST90019501	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90019502	GCST90019502	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90019503	GCST90019503	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90019504	GCST90019504	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90019505	GCST90019505	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90019506	GCST90019506	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90019507	GCST90019507	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90019508	GCST90019508	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90019509	GCST90019509	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90019510	GCST90019510	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90019511	GCST90019511	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90019512	GCST90019512	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90019513	GCST90019513	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90019514	GCST90019514	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90019515	GCST90019515	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90019516	GCST90019516	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90019517	GCST90019517	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90019518	GCST90019518	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90019519	GCST90019519	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90019520	GCST90019520	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90019521	GCST90019521	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90019522	GCST90019522	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90019523	GCST90019523	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90019524	GCST90019524	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90019525	GCST90019525	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90019526	GCST90019526	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90020034	GCST90020034	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90020035	GCST90020035	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90020070	GCST90020070	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90020071	GCST90020071	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90020072	GCST90020072	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90020165	GCST90020165	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90020166	GCST90020166	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90020167	GCST90020167	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90020168	GCST90020168	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST90020190	GCST90020190	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
