analysis_id	source_analysis_id	source_ancestry_label	assigned_ancestry	ancestry_assignment_method	ancestry_reference_id	af_overlap	dominant_superpop	dominant_proportion	runner_up_margin	nnls_residual	gate_reason	eaf_orientation	eaf_orientation_r	source_assigned_mismatch	ancestry_notes	ancestry_prop_AFR	ancestry_prop_AMR	ancestry_prop_EAS	ancestry_prop_EUR	ancestry_prop_MID	ancestry_prop_NAF	ancestry_prop_SAS
GCST90002405	GCST90002405	European	EUR	af_assigned	ref_freqs.hg38.tsv.gz	50000	EUR	0.999667	0.999334	0.00614945	ok	passed	0.979304	false		0	0	0	0.999667	0	0	0.000333225
GCST90002406	GCST90002406	European	EUR	af_assigned	ref_freqs.hg38.tsv.gz	50000	EUR	0.999667	0.999333	0.00614913	ok	passed	0.979304	false		0	0	0	0.999667	0	0	0.000333464
GCST90002407	GCST90002407	European	EUR	af_assigned	ref_freqs.hg38.tsv.gz	50000	EUR	0.999609	0.999219	0.00614817	ok	passed	0.979308	false		0	0	0	0.999609	0	0	0.00039058
GCST90002409	GCST90002409	European		unassigned	ref_freqs.hg38.tsv.gz	0		0	0		overlap	unverified										
GCST90002412	GCST90002412	European	EUR	af_assigned	ref_freqs.hg38.tsv.gz	50000	EUR	1	1	0.00613055	ok	passed	0.979387	false		0	0	0	1	0	0	0
GCST90006790	GCST90006790	European		unassigned	ref_freqs.hg38.tsv.gz	0		0	0		overlap	unverified										
GCST90006791	GCST90006791	European		unassigned	ref_freqs.hg38.tsv.gz	0		0	0		overlap	unverified										
GCST90006884	GCST90006884	European	EUR	af_assigned	ref_freqs.hg38.tsv.gz	50000	EUR	1	1	0.00601408	ok	passed	0.978237	false		0	0	0	1	0	0	0
GCST90006885	GCST90006885	European	EUR	af_assigned	ref_freqs.hg38.tsv.gz	50000	EUR	1	1	0.00609475	ok	passed	0.978245	false		0	0	0	1	0	0	0
GCST90006886	GCST90006886	European	EUR	af_assigned	ref_freqs.hg38.tsv.gz	50000	EUR	1	1	0.00601408	ok	passed	0.978237	false		0	0	0	1	0	0	0
GCST90006887	GCST90006887	European	EUR	af_assigned	ref_freqs.hg38.tsv.gz	50000	EUR	1	1	0.00989162	ok	passed	0.977929	false		0	0	0	1	0	0	0
GCST90006888	GCST90006888	European	EUR	af_assigned	ref_freqs.hg38.tsv.gz	50000	EUR	0.999645	0.99929	0.00915424	ok	passed	0.977793	false		0	0	0	0.999645	0.000355144	0	0
GCST90006889	GCST90006889	European	EUR	af_assigned	ref_freqs.hg38.tsv.gz	50000	EUR	1	1	0.00826194	ok	passed	0.977974	false		0	0	0	1	0	0	0
GCST90006890	GCST90006890	European	EUR	af_assigned	ref_freqs.hg38.tsv.gz	50000	EUR	1	1	0.0172904	ok	passed	0.976782	false		0	0	0	1	0	0	0
GCST90006891	GCST90006891	European	EUR	af_assigned	ref_freqs.hg38.tsv.gz	50000	EUR	1	1	0.00869074	ok	passed	0.977854	false		0	0	0	1	0	0	0
