analysis_id	source_analysis_id	source_label	analysis_label	trait_ontology_label	trait_ontology_id	trait_ontology_mapping_method	source_file	source_bundle_id	checksum	checksum_algorithm	size_bytes	source_genome_build	license	publication_doi	publication_pmid	consortium	source_ancestry_label	assigned_ancestry	ancestry_assignment_method	original_effect_scale	original_sd	original_sd_method	stored_effect_scale	sample_size_kind	sample_size_scope	sample_size	n_cases	n_controls	analysis_group_id	inclusion_reason	exclude_from_build
ukb-b-9058	ukb-b-9058	Non-cancer illness code, self-reported: eye/eyelid problem	Non-cancer illness code, self-reported: eye/eyelid problem			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-9058.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	case_control	analysis_level	462933	3641	459292		all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-9074	ukb-b-9074	Diagnoses - main ICD10: N35.9 Urethral stricture, unspecified	Diagnoses - main ICD10: N35.9 Urethral stricture, unspecified			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-9074.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	case_control	analysis_level	463010	2013	460997		all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-9093	ukb-b-9093	Arm predicted mass (left)	Arm predicted mass (left)			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-9093.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	total	analysis_level	454655				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-9099	ukb-b-9099	3mm cylindrical power (right)	3mm cylindrical power (right)			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-9099.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	total	analysis_level	96007				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-9107	ukb-b-9107	Diagnoses - secondary ICD10: C50.9 Breast, unspecified	Diagnoses - secondary ICD10: C50.9 Breast, unspecified			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-9107.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	case_control	analysis_level	463010	1372	461638		all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-9125	ukb-b-9125	Non-cancer illness code, self-reported: rheumatoid arthritis	Non-cancer illness code, self-reported: rheumatoid arthritis			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-9125.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	case_control	analysis_level	462933	5201	457732		all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-9127	ukb-b-9127	Illnesses of father: Chronic bronchitis/emphysema	Illnesses of father: Chronic bronchitis/emphysema			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-9127.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	case_control	analysis_level	402389	46263	356126		all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-9130	ukb-b-9130	Pain type(s) experienced in last month: None of the above	Pain type(s) experienced in last month: None of the above			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-9130.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	case_control	analysis_level	461857	184616	277241		all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-9139	ukb-b-9139	Reason for glasses/contact lenses: For a 'lazy' eye or an eye with poor vision since childhood (called 'amblyopia')	Reason for glasses/contact lenses: For a 'lazy' eye or an eye with poor vision since childhood (called 'amblyopia')			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-9139.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	case_control	analysis_level	460536	3745	456791		all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-9155	ukb-b-9155	Non-cancer illness code, self-reported: sleep apnoea	Non-cancer illness code, self-reported: sleep apnoea			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-9155.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	case_control	analysis_level	462933	1510	461423		all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-918	ukb-b-918	Type of cancer: ICD10: D06.9 Cervix, unspecified	Type of cancer: ICD10: D06.9 Cervix, unspecified			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-918.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	case_control	analysis_level	463010	3175	459835		all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-9190	ukb-b-9190	Operation code: bunion/hallus valgus surgery	Operation code: bunion/hallus valgus surgery			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-9190.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	case_control	analysis_level	462933	6130	456803		all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-9207	ukb-b-9207	Treatment/medication code: amlodipine	Treatment/medication code: amlodipine			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-9207.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	case_control	analysis_level	462933	18713	444220		all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-9216	ukb-b-9216	Diagnoses - secondary ICD10: Z53.9 Procedure not carried out, unspecified reason	Diagnoses - secondary ICD10: Z53.9 Procedure not carried out, unspecified reason			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-9216.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	case_control	analysis_level	463010	1877	461133		all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-9224	ukb-b-9224	Treatment/medication code: symbicort 100/6 turbohaler	Treatment/medication code: symbicort 100/6 turbohaler			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-9224.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	case_control	analysis_level	462933	2815	460118		all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-9242	ukb-b-9242	Operative procedures - main OPCS: K75.1 Percutaneous transluminal balloon angioplasty and insertion of 1-2 drug-eluting stents into coronary artery	Operative procedures - main OPCS: K75.1 Percutaneous transluminal balloon angioplasty and insertion of 1-2 drug-eluting stents into coronary artery			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-9242.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	case_control	analysis_level	463010	2381	460629		all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-9253	ukb-b-9253	Destinations on discharge from hospital (recoded): Transfer within NHS provider	Destinations on discharge from hospital (recoded): Transfer within NHS provider			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-9253.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	case_control	analysis_level	460758	2339	458419		all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
