analysis_id	source_analysis_id	source_label	analysis_label	trait_ontology_label	trait_ontology_id	trait_ontology_mapping_method	source_file	source_bundle_id	checksum	checksum_algorithm	size_bytes	source_genome_build	license	publication_doi	publication_pmid	consortium	source_ancestry_label	assigned_ancestry	ancestry_assignment_method	original_effect_scale	original_sd	original_sd_method	stored_effect_scale	sample_size_kind	sample_size_scope	sample_size	n_cases	n_controls	analysis_group_id	inclusion_reason	exclude_from_build
ukb-b-10001	ukb-b-10001	Operative procedures - secondary OPCS: Z84.6 Knee joint	Operative procedures - secondary OPCS: Z84.6 Knee joint			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-10001.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	case_control	analysis_level	463010	6661	456349		all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10002	ukb-b-10002	Manic/hyper symptoms: All of the above	Manic/hyper symptoms: All of the above			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-10002.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	case_control	analysis_level	31317	3177	28140		all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10003	ukb-b-10003	Treatment/medication code: becotide 50 inhaler	Treatment/medication code: becotide 50 inhaler			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-10003.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	case_control	analysis_level	462933	2810	460123		all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10008	ukb-b-10008	Treatment/medication code: atorvastatin	Treatment/medication code: atorvastatin			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-10008.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	case_control	analysis_level	462933	13851	449082		all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10011	ukb-b-10011	Townsend deprivation index at recruitment	Townsend deprivation index at recruitment			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-10011.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	total	analysis_level	462464				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-1004	ukb-b-1004	Added milk to espresso	Added milk to espresso			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-1004.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	total	analysis_level	64949				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10054	ukb-b-10054	Cheese consumers	Cheese consumers			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-10054.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	case_control	analysis_level	64949	29408	35541		all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10056	ukb-b-10056	PCT responsible for patient data: NORTH TYNESIDE PCT	PCT responsible for patient data: NORTH TYNESIDE PCT			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-10056.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	case_control	analysis_level	463010	3701	459309		all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10061	ukb-b-10061	Diagnoses - secondary ICD10: Z50.1 Other physical therapy	Diagnoses - secondary ICD10: Z50.1 Other physical therapy			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-10061.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	case_control	analysis_level	463010	1824	461186		all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10066	ukb-b-10066	Eye problems/disorders: Other serious eye condition	Eye problems/disorders: Other serious eye condition			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-10066.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	case_control	analysis_level	150642	8438	142204		all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10070	ukb-b-10070	PCT responsible for patient data: BUCKINGHAMSHIRE PCT	PCT responsible for patient data: BUCKINGHAMSHIRE PCT			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-10070.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	case_control	analysis_level	463010	1070	461940		all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10073	ukb-b-10073	Type of baguette eaten: wholemeal	Type of baguette eaten: wholemeal			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-10073.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	case_control	analysis_level	64949	1099	63850		all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10093	ukb-b-10093	Tense / 'highly strung'	Tense / 'highly strung'			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-10093.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	case_control	analysis_level	447961	78408	369553		all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10097	ukb-b-10097	Operation code: skin operation or plastic surgery	Operation code: skin operation or plastic surgery			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-10097.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	case_control	analysis_level	462933	3976	458957		all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10098	ukb-b-10098	Non-cancer illness code, self-reported: iron deficiency anaemia	Non-cancer illness code, self-reported: iron deficiency anaemia			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-10098.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	case_control	analysis_level	462933	2577	460356		all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10102	ukb-b-10102	Diagnoses - main ICD10: Z09.0 Follow-up examination after surgery for other conditions	Diagnoses - main ICD10: Z09.0 Follow-up examination after surgery for other conditions			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-10102.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	case_control	analysis_level	463010	3424	459586		all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10143	ukb-b-10143	Destinations on discharge from hospital (recoded): Usual Place of residence: Living alone	Destinations on discharge from hospital (recoded): Usual Place of residence: Living alone			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-10143.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	case_control	analysis_level	460756	2865	457891		all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10144	ukb-b-10144	Diagnoses - secondary ICD10: K21.0 Gastro-oesophageal reflux disease with oesophagitis	Diagnoses - secondary ICD10: K21.0 Gastro-oesophageal reflux disease with oesophagitis			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-10144.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	case_control	analysis_level	463010	2241	460769		all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10145	ukb-b-10145	PCT where patients GP was registered: NORTH BRADFORD PCT	PCT where patients GP was registered: NORTH BRADFORD PCT			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-10145.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	case_control	analysis_level	463010	1101	461909		all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-1016	ukb-b-1016	Operative procedures - main OPCS: M29.3 Endoscopic removal of tubal prosthesis from ureter	Operative procedures - main OPCS: M29.3 Endoscopic removal of tubal prosthesis from ureter			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-1016.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	case_control	analysis_level	463010	1053	461957		all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10162	ukb-b-10162	Job involve night shift work	Job involve night shift work			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-10162.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	total	analysis_level	43440				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10164	ukb-b-10164	Operative procedures - main OPCS: X31.2 Intravenous pyelography	Operative procedures - main OPCS: X31.2 Intravenous pyelography			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-10164.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	case_control	analysis_level	463010	1169	461841		all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10167	ukb-b-10167	Operation code: vasectomy	Operation code: vasectomy			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-10167.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	case_control	analysis_level	462933	11330	451603		all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10169	ukb-b-10169	Guilty feelings	Guilty feelings			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-10169.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	case_control	analysis_level	450704	129383	321321		all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10181	ukb-b-10181	Eye problems/disorders: Diabetes related eye disease	Eye problems/disorders: Diabetes related eye disease			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-10181.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	case_control	analysis_level	150642	2940	147702		all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10188	ukb-b-10188	Vitamin and mineral supplements: Vitamin B	Vitamin and mineral supplements: Vitamin B			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-10188.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	case_control	analysis_level	460351	19395	440956		all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-1020	ukb-b-1020	Operative procedures - secondary OPCS: Z70.5 Lower end of radius NEC	Operative procedures - secondary OPCS: Z70.5 Lower end of radius NEC			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-1020.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	case_control	analysis_level	463010	3490	459520		all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10202	ukb-b-10202	PCT responsible for patient data: BURY PCT	PCT responsible for patient data: BURY PCT			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-10202.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	case_control	analysis_level	463010	2357	460653		all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-1021	ukb-b-1021	Operation code: muscle/soft tissue surgery	Operation code: muscle/soft tissue surgery			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-1021.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	case_control	analysis_level	462933	13359	449574		all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10212	ukb-b-10212	Treatment speciality of consultant (recoded): Neurology	Treatment speciality of consultant (recoded): Neurology			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-10212.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	case_control	analysis_level	444321	5524	438797		all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10215	ukb-b-10215	Hand grip strength (right)	Hand grip strength (right)			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-10215.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	total	analysis_level	461089				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10217	ukb-b-10217	Sweets intake	Sweets intake			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-10217.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	total	analysis_level	64949				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10224	ukb-b-10224	Non-cancer illness code, self-reported: meningitis	Non-cancer illness code, self-reported: meningitis			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-10224.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	case_control	analysis_level	462933	1909	461024		all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10248	ukb-b-10248	Type of cancer: ICD10: C44.3 Skin of other and unspecified parts of face	Type of cancer: ICD10: C44.3 Skin of other and unspecified parts of face			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-10248.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	case_control	analysis_level	463010	6034	456976		all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10250	ukb-b-10250	Cylindrical power (right)	Cylindrical power (right)			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-10250.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	total	analysis_level	99380				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10258	ukb-b-10258	Treatment/medication code: paroxetine	Treatment/medication code: paroxetine			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-10258.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	case_control	analysis_level	462933	1554	461379		all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10260	ukb-b-10260	Types of spreads/sauces consumed: Gravy	Types of spreads/sauces consumed: Gravy			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-10260.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	case_control	analysis_level	64949	4302	60647		all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10263	ukb-b-10263	Operative procedures - secondary OPCS: Y80.9 Unspecified general anaesthetic	Operative procedures - secondary OPCS: Y80.9 Unspecified general anaesthetic			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-10263.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	case_control	analysis_level	463010	5227	457783		all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10272	ukb-b-10272	Treatment/medication code: digoxin	Treatment/medication code: digoxin			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-10272.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	case_control	analysis_level	462933	1182	461751		all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10281	ukb-b-10281	Operative procedures - secondary OPCS: Z89.6 Finger NEC	Operative procedures - secondary OPCS: Z89.6 Finger NEC			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-10281.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	case_control	analysis_level	463010	2496	460514		all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10284	ukb-b-10284	Treatment/medication code: multivitamins	Treatment/medication code: multivitamins			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-10284.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	case_control	analysis_level	462933	14179	448754		all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10286	ukb-b-10286	Breakfast cereal consumed	Breakfast cereal consumed			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-10286.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	case_control	analysis_level	64949	42565	22384		all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10289	ukb-b-10289	Operation code: large bowel resection +/- colostomy	Operation code: large bowel resection +/- colostomy			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-10289.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	case_control	analysis_level	462933	1269	461664		all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10298	ukb-b-10298	Operative procedures - secondary OPCS: W28.1 Application of internal fixation to bone NEC	Operative procedures - secondary OPCS: W28.1 Application of internal fixation to bone NEC			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-10298.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	case_control	analysis_level	463010	1383	461627		all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10309	ukb-b-10309	Operation code: myomectomy/fibroids removed	Operation code: myomectomy/fibroids removed			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-10309.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	case_control	analysis_level	462933	2559	460374		all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10324	ukb-b-10324	Operation code: elbow surgery	Operation code: elbow surgery			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-10324.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	case_control	analysis_level	462933	2782	460151		all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10325	ukb-b-10325	Average night-time sound level of noise pollution	Average night-time sound level of noise pollution			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-10325.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	total	analysis_level	456380				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10351	ukb-b-10351	Non-cancer illness code, self-reported: allergy or anaphylactic reaction to drug	Non-cancer illness code, self-reported: allergy or anaphylactic reaction to drug			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-10351.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	case_control	analysis_level	462933	4029	458904		all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10362	ukb-b-10362	Diagnoses - main ICD10: K80.0 Calculus of gallbladder with acute cholecystitis	Diagnoses - main ICD10: K80.0 Calculus of gallbladder with acute cholecystitis			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-10362.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	case_control	analysis_level	463010	1100	461910		all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10366	ukb-b-10366	Sweet snack consumers	Sweet snack consumers			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-10366.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	case_control	analysis_level	64949	35147	29802		all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10368	ukb-b-10368	Diagnoses - secondary ICD10: R19.4 Change in bowel habit	Diagnoses - secondary ICD10: R19.4 Change in bowel habit			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-10368.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	case_control	analysis_level	463010	2443	460567		all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10382	ukb-b-10382	PCT where patients GP was registered: NORTH STAFFORDSHIRE PCT	PCT where patients GP was registered: NORTH STAFFORDSHIRE PCT			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-10382.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	case_control	analysis_level	463010	2990	460020		all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10387	ukb-b-10387	Leg pain on walking	Leg pain on walking			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-10387.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	case_control	analysis_level	151553	33509	118044		all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10409	ukb-b-10409	Diagnoses - secondary ICD10: R10.1 Pain localised to upper abdomen	Diagnoses - secondary ICD10: R10.1 Pain localised to upper abdomen			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-10409.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	case_control	analysis_level	463010	1543	461467		all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-1041	ukb-b-1041	Traffic intensity on the nearest major road	Traffic intensity on the nearest major road			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-1041.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	total	analysis_level	456380				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10412	ukb-b-10412	Time to complete round	Time to complete round			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-10412.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	total	analysis_level	110323				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10414	ukb-b-10414	Sum of road length of major roads within 100m	Sum of road length of major roads within 100m			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-10414.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	total	analysis_level	456380				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10415	ukb-b-10415	Illnesses of father: None of the above (group 2)	Illnesses of father: None of the above (group 2)			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-10415.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	case_control	analysis_level	407392	303978	103414		all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10433	ukb-b-10433	Treatment/medication code: fexofenadine	Treatment/medication code: fexofenadine			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-10433.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	case_control	analysis_level	462933	1437	461496		all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-1044	ukb-b-1044	Operative procedures - main OPCS: H20.6 Fibreoptic endoscopic resection of lesion of colon NEC	Operative procedures - main OPCS: H20.6 Fibreoptic endoscopic resection of lesion of colon NEC			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-1044.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	case_control	analysis_level	463010	1581	461429		all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10444	ukb-b-10444	Operative procedures - main OPCS: X50.1 Direct current cardioversion	Operative procedures - main OPCS: X50.1 Direct current cardioversion			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-10444.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	case_control	analysis_level	463010	2239	460771		all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10454	ukb-b-10454	Illnesses of mother: None of the above (group 1)	Illnesses of mother: None of the above (group 1)			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-10454.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	case_control	analysis_level	425729	176419	249310		all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-1046	ukb-b-1046	Duration of strenuous sports	Duration of strenuous sports			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-1046.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	total	analysis_level	46993				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10477	ukb-b-10477	PCT where patients GP was registered: LAMBETH PCT	PCT where patients GP was registered: LAMBETH PCT			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-10477.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	case_control	analysis_level	463010	1671	461339		all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10485	ukb-b-10485	PCT where patients GP was registered: BRACKNELL FOREST PCT	PCT where patients GP was registered: BRACKNELL FOREST PCT			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-10485.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	case_control	analysis_level	463010	1007	462003		all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10490	ukb-b-10490	Diagnoses - secondary ICD10: Z03.8 Observation for other suspected diseases and conditions	Diagnoses - secondary ICD10: Z03.8 Observation for other suspected diseases and conditions			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-10490.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	case_control	analysis_level	463010	2219	460791		all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10505	ukb-b-10505	Qualifications: CSEs or equivalent	Qualifications: CSEs or equivalent			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-10505.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	case_control	analysis_level	458079	59969	398110		all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10537	ukb-b-10537	Non-cancer illness code, self-reported: psoriasis	Non-cancer illness code, self-reported: psoriasis			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-10537.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	case_control	analysis_level	462933	5314	457619		all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10546	ukb-b-10546	Oily fish intake	Oily fish intake			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-10546.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	total	analysis_level	64949				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10554	ukb-b-10554	Operation code: adenoid surgery / adenoidectomy	Operation code: adenoid surgery / adenoidectomy			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-10554.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	case_control	analysis_level	462933	2576	460357		all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10555	ukb-b-10555	Diagnoses - secondary ICD10: I50.1 Left ventricular failure	Diagnoses - secondary ICD10: I50.1 Left ventricular failure			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-10555.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	case_control	analysis_level	463010	2046	460964		all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10559	ukb-b-10559	Methods of admission to hospital (recoded): Emergency admission: A&E	Methods of admission to hospital (recoded): Emergency admission: A&E			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-10559.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	case_control	analysis_level	462624	83717	378907		all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
