analysis_index	analysis_id	source_analysis_id	source_label	analysis_label	trait_ontology_label	trait_ontology_id	trait_ontology_mapping_method	source_file	source_url	source_bundle_id	downloaded_file	checksum	checksum_algorithm	size_bytes	source_genome_build	license	publication_doi	publication_pmid	consortium	first_author	source_ancestry_label	assigned_ancestry	ancestry_assignment_method	original_effect_scale	original_sd	original_sd_method	stored_effect_scale	sample_size_kind	sample_size_scope	sample_size	n_cases	n_controls	analysis_group_id	inclusion_reason	exclude_from_build
10	GCST000760	GCST000760	Cholesterol, total	Cholesterol, total	total cholesterol measurement	http://www.ebi.ac.uk/efo/EFO_0004574	source_provided	/data/opengwasdb/raw/ebi-gwas-catalog/GCST000001-GCST001000/GCST000760/harmonised/20686565-GCST000760-EFO_0004574.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST000001-GCST001000/GCST000760/harmonised/20686565-GCST000760-EFO_0004574.h.tsv.gz		20686565-GCST000760-EFO_0004574.h.tsv.gz	125fc26db84baec906f4b0d7594de867b775e408687177f7cdae34b243bd2a9c	sha256	79033928	GRCh38	EBI GWAS Catalog terms of use		20686565		Teslovich TM	European		unassigned	sd		estimated_from_source_maf	sd	total	analysis_level	100184				excluded: ancestry_unassigned: gate_reason=overlap	true
11	GCST000879	GCST000879	Crohn's disease	Crohn's disease	Crohn disease	MONDO:0005011	source_provided	/data/opengwasdb/raw/ebi-gwas-catalog/GCST000001-GCST001000/GCST000879/harmonised/21102463-GCST000879-EFO_0000384.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST000001-GCST001000/GCST000879/harmonised/21102463-GCST000879-EFO_0000384.h.tsv.gz		21102463-GCST000879-EFO_0000384.h.tsv.gz	4f53783920e47070b884b482624e2ceec6b6d0da3329c6f8e9d27ee52ec6f0bc	sha256	10612815	GRCh38	EBI GWAS Catalog terms of use		21102463		Franke A	European		unassigned	log_or		binary_trait	log_or	case_control	analysis_level	21389	6333	15056		excluded: ancestry_unassigned: gate_reason=overlap	true
12	GCST000922	GCST000922	Openness	Openness	openness measurement	http://www.ebi.ac.uk/efo/EFO_0007914	source_provided	/data/opengwasdb/raw/ebi-gwas-catalog/GCST000001-GCST001000/GCST000922/harmonised/21173776-GCST000922-EFO_0007914.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST000001-GCST001000/GCST000922/harmonised/21173776-GCST000922-EFO_0007914.h.tsv.gz		21173776-GCST000922-EFO_0007914.h.tsv.gz	3b1a74efb100986a7ee578144aec983db67581bff8984e968a2cbb4e432cf981	sha256	79426996	GRCh38	EBI GWAS Catalog terms of use		21173776		de Moor MH	European		unassigned	sd		estimated_from_source_maf	sd	total	analysis_level	17375				excluded: ancestry_unassigned: gate_reason=residual	true
13	GCST000998	GCST000998	Coronary heart disease	Coronary heart disease	coronary artery disorder	MONDO:0005010	source_provided	/data/opengwasdb/raw/ebi-gwas-catalog/GCST000001-GCST001000/GCST000998/harmonised/21378990-GCST000998-EFO_0001645.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST000001-GCST001000/GCST000998/harmonised/21378990-GCST000998-EFO_0001645.h.tsv.gz		21378990-GCST000998-EFO_0001645.h.tsv.gz	ca7909143fe82e07ad359b91ff6845abec64b8a1e3426e8d0ad86d731e0354ce	sha256	142090861	GRCh38	EBI GWAS Catalog terms of use		21378990		Schunkert H	European	EUR	af_assigned	log_or		binary_trait	log_or	case_control	analysis_level	86995	22233	64762		selected_ready_source	
14	GCST001198	GCST001198	Multiple sclerosis	Multiple sclerosis	multiple sclerosis	MONDO:0005301	source_provided	/data/opengwasdb/raw/ebi-gwas-catalog/GCST001001-GCST002000/GCST001198/harmonised/21833088-GCST001198-EFO_0003885.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST001001-GCST002000/GCST001198/harmonised/21833088-GCST001198-EFO_0003885.h.tsv.gz		21833088-GCST001198-EFO_0003885.h.tsv.gz	70adcfb32574a2f31f8558c34344ec6f3ba73b8134b4e1d2543701f775695344	sha256	36976314	GRCh38	EBI GWAS Catalog terms of use		21833088		Sawcer S	European		unassigned	log_or		binary_trait	log_or	case_control	analysis_level	26621	9772	16849		excluded: ancestry_unassigned: gate_reason=overlap	true
15	GCST001212	GCST001212	Proinsulin levels	Proinsulin levels	insulin measurement	http://www.ebi.ac.uk/efo/EFO_0004467	source_provided	/data/opengwasdb/raw/ebi-gwas-catalog/GCST001001-GCST002000/GCST001212/harmonised/21873549-GCST001212-EFO_0004467.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST001001-GCST002000/GCST001212/harmonised/21873549-GCST001212-EFO_0004467.h.tsv.gz		21873549-GCST001212-EFO_0004467.h.tsv.gz	06d40d130fd579a77511a792635586e06200dcf6d7e3a6dbaef2297ceaba3920	sha256	84024850	GRCh38	EBI GWAS Catalog terms of use		21873549		Strawbridge RJ	European		unassigned	sd		estimated_from_source_maf	sd	total	analysis_level	10701				excluded: ancestry_unassigned: gate_reason=residual	true
16	GCST001255	GCST001255	Type 1 diabetes	Type 1 diabetes	type 1 diabetes mellitus	MONDO:0005147	source_provided	/data/opengwasdb/raw/ebi-gwas-catalog/GCST001001-GCST002000/GCST001255/harmonised/21980299-GCST001255-EFO_0001359.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST001001-GCST002000/GCST001255/harmonised/21980299-GCST001255-EFO_0001359.h.tsv.gz		21980299-GCST001255-EFO_0001359.h.tsv.gz	361d3a7c474f6740b0b1ba0832526a7554692017b171689b78e18d2caab6bfbc	sha256	23993608	GRCh38	EBI GWAS Catalog terms of use		21980299		Bradfield JP	European		unassigned	log_or		binary_trait	log_or	case_control	analysis_level	26890	9934	16956		excluded: ancestry_unassigned: gate_reason=overlap	true
17	GCST001475	GCST001475	Obesity	Obesity	obesity disorder	MONDO:0011122	source_provided	/data/opengwasdb/raw/ebi-gwas-catalog/GCST001001-GCST002000/GCST001475/harmonised/22484627-GCST001475-EFO_0001073.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST001001-GCST002000/GCST001475/harmonised/22484627-GCST001475-EFO_0001073.h.tsv.gz		22484627-GCST001475-EFO_0001073.h.tsv.gz	ba53554450a35f022e308e13710f35d12af5c9d4fb106fb2987befc91ae5d60c	sha256	71651673	GRCh38	EBI GWAS Catalog terms of use		22484627		Bradfield JP	European		unassigned	log_or		binary_trait	log_or	case_control	analysis_level	13848	5530	8318		excluded: ancestry_unassigned: gate_reason=overlap	true
18	GCST001592	GCST001592	Osteoarthritis	Osteoarthritis	osteoarthritis	MONDO:0005178	source_provided	/data/opengwasdb/raw/ebi-gwas-catalog/GCST001001-GCST002000/GCST001592/harmonised/22763110-GCST001592-EFO_0002506.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST001001-GCST002000/GCST001592/harmonised/22763110-GCST001592-EFO_0002506.h.tsv.gz		22763110-GCST001592-EFO_0002506.h.tsv.gz	4aef6899c42f15b3c725a64dae2d5979652162d33d5a9764e0ffa0ae8dafaa2f	sha256	37352666	GRCh38	EBI GWAS Catalog terms of use		22763110		Zeggini E	European		unassigned	log_or		binary_trait	log_or	case_control	analysis_level	18419	7410	11009		excluded: ancestry_unassigned: gate_reason=overlap	true
19	GCST001790	GCST001790	Gout	Gout	gout	MONDO:0005393	source_provided	/data/opengwasdb/raw/ebi-gwas-catalog/GCST001001-GCST002000/GCST001790/harmonised/23263486-GCST001790-EFO_0004274.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST001001-GCST002000/GCST001790/harmonised/23263486-GCST001790-EFO_0004274.h.tsv.gz		23263486-GCST001790-EFO_0004274.h.tsv.gz	b082088be09b88ae6aecce071f40d8cbf6523a16d54f458609451d1daa36b4b3	sha256	91823789	GRCh38	EBI GWAS Catalog terms of use		23263486		Kottgen A	European		unassigned	log_or		binary_trait	log_or	case_control	analysis_level	69374	2115	67259		excluded: ancestry_unassigned: gate_reason=overlap	true
