analysis_index	analysis_id	source_analysis_id	source_label	analysis_label	trait_ontology_label	trait_ontology_id	trait_ontology_mapping_method	source_file	source_url	source_bundle_id	downloaded_file	checksum	checksum_algorithm	size_bytes	source_genome_build	license	publication_doi	publication_pmid	consortium	first_author	source_ancestry_label	assigned_ancestry	ancestry_assignment_method	original_effect_scale	original_sd	original_sd_method	stored_effect_scale	sample_size_kind	sample_size_scope	sample_size	n_cases	n_controls	analysis_group_id	inclusion_reason	exclude_from_build
962	GCST90012082	GCST90012082	N-terminal prohormone brain natriuretic peptide levels	N-terminal prohormone brain natriuretic peptide levels	natriuretic peptides B proteolytic cleavage product level	OBA:2045349	source_provided	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90012001-GCST90013000/GCST90012082/harmonised/33067605-GCST90012082-EFO_0004747.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90012001-GCST90013000/GCST90012082/harmonised/33067605-GCST90012082-EFO_0004747.h.tsv.gz		33067605-GCST90012082-EFO_0004747.h.tsv.gz	b5f95016b1cf95d147f3a704ac3a503690b0456e6758481bc5f4f04ff79f91bb	sha256	408135259	GRCh38	EBI GWAS Catalog terms of use		33067605		Folkersen L	European	EUR	af_assigned	sd	2.11244	estimated_from_source_maf	sd	total	analysis_level	21758				selected_ready_source	
963	GCST90012083	GCST90012083	Eosinophil cationic protein levels	Eosinophil cationic protein levels	eosinophil cationic protein level	OBA:2045348	source_provided	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90012001-GCST90013000/GCST90012083/harmonised/GCST90012083.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90012001-GCST90013000/GCST90012083/harmonised/GCST90012083.h.tsv.gz		GCST90012083.h.tsv.gz	1a08c1739c81e9f9c82d23080c443373144037821231607f109b245820e20260	sha256	236646702	GRCh38	EBI GWAS Catalog terms of use		33067605		Folkersen L	European	EUR	af_assigned	sd	1.88389	estimated_from_source_maf	sd	total	analysis_level	21758				selected_ready_source	
964	GCST90012088	GCST90012088	Male puberty timing (age at voice breaking MTAG)	Male puberty timing (age at voice breaking MTAG)	puberty onset measurement	http://www.ebi.ac.uk/efo/EFO_0005677	source_provided	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90012001-GCST90013000/GCST90012088/harmonised/32210231-GCST90012088-EFO_0005677.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90012001-GCST90013000/GCST90012088/harmonised/32210231-GCST90012088-EFO_0005677.h.tsv.gz		32210231-GCST90012088-EFO_0005677.h.tsv.gz	8b42c5368d6460387c40f8be3e8cef120559200dee716545dca2b1d27ddfc9a9	sha256	227243	GRCh38	EBI GWAS Catalog terms of use		32210231		Hollis B	European		unassigned	sd		estimated_from_source_maf	sd	total	analysis_level	205354				excluded: ancestry_unassigned: gate_reason=overlap	true
965	GCST90012102	GCST90012102	Bioavailable testosterone levels	Bioavailable testosterone levels	testosterone measurement	http://www.ebi.ac.uk/efo/EFO_0004908	source_provided	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90012001-GCST90013000/GCST90012102/harmonised/32042192-GCST90012102-EFO_0004908.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90012001-GCST90013000/GCST90012102/harmonised/32042192-GCST90012102-EFO_0004908.h.tsv.gz		32042192-GCST90012102-EFO_0004908.h.tsv.gz	674301309751e6d22bf4a92ce4c4c930d097b305fb65d1550d15f4c4db1bb37d	sha256	679563499	GRCh38	EBI GWAS Catalog terms of use		32042192		Ruth KS	European	EUR	af_assigned	sd	0.786492	estimated_from_source_maf	sd	total	analysis_level	188507				selected_ready_source	
966	GCST90012103	GCST90012103	Bioavailable testosterone levels	Bioavailable testosterone levels	testosterone measurement	http://www.ebi.ac.uk/efo/EFO_0004908	source_provided	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90012001-GCST90013000/GCST90012103/harmonised/32042192-GCST90012103-EFO_0004908.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90012001-GCST90013000/GCST90012103/harmonised/32042192-GCST90012103-EFO_0004908.h.tsv.gz		32042192-GCST90012103-EFO_0004908.h.tsv.gz	eb096474173a33e54cd7cd5f5474c0180a60c88c83d62bfbb1d0750d6987fbac	sha256	679140097	GRCh38	EBI GWAS Catalog terms of use		32042192		Ruth KS	European	EUR	af_assigned	sd	0.918905	estimated_from_source_maf	sd	total	analysis_level	178782				selected_ready_source	
967	GCST90012104	GCST90012104	Bioavailable testosterone levels	Bioavailable testosterone levels	testosterone measurement	http://www.ebi.ac.uk/efo/EFO_0004908	source_provided	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90012001-GCST90013000/GCST90012104/harmonised/32042192-GCST90012104-EFO_0004908.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90012001-GCST90013000/GCST90012104/harmonised/32042192-GCST90012104-EFO_0004908.h.tsv.gz		32042192-GCST90012104-EFO_0004908.h.tsv.gz	d7ca8c292f9c39b0a656b08c9857e535e660090d5ea38b7fdd8f4ca8bb7cc740	sha256	679178646	GRCh38	EBI GWAS Catalog terms of use		32042192		Ruth KS	European	EUR	af_assigned	sd	0.882373	estimated_from_source_maf	sd	total	analysis_level	382988				selected_ready_source	
968	GCST90012105	GCST90012105	Estradiol levels	Estradiol levels	estradiol measurement	http://www.ebi.ac.uk/efo/EFO_0004697	source_provided	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90012001-GCST90013000/GCST90012105/harmonised/32042192-GCST90012105-EFO_0004697.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90012001-GCST90013000/GCST90012105/harmonised/32042192-GCST90012105-EFO_0004697.h.tsv.gz		32042192-GCST90012105-EFO_0004697.h.tsv.gz	21b9f73086e17574b0975476b38d019a9fcf515781611150a42e6044a1642441	sha256	680546053	GRCh38	EBI GWAS Catalog terms of use		32042192		Ruth KS	European	EUR	af_assigned	sd	0.274621	estimated_from_source_maf	sd	total	analysis_level	206927				selected_ready_source	
969	GCST90012106	GCST90012106	Sex hormone-binding globulin levels adjusted for BMI	Sex hormone-binding globulin levels adjusted for BMI	sex hormone-binding globulin measurement	http://www.ebi.ac.uk/efo/EFO_0004696	source_provided	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90012001-GCST90013000/GCST90012106/harmonised/32042192-GCST90012106-EFO_0004696.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90012001-GCST90013000/GCST90012106/harmonised/32042192-GCST90012106-EFO_0004696.h.tsv.gz		32042192-GCST90012106-EFO_0004696.h.tsv.gz	ada763a13555d6421522df6835352340763c405329245452f2f529804f1d678d	sha256	678917475	GRCh38	EBI GWAS Catalog terms of use		32042192		Ruth KS	European	EUR	af_assigned	sd	0.383808	estimated_from_source_maf	sd	total	analysis_level	188908				selected_ready_source	
970	GCST90012107	GCST90012107	Sex hormone-binding globulin levels	Sex hormone-binding globulin levels	sex hormone-binding globulin measurement	http://www.ebi.ac.uk/efo/EFO_0004696	source_provided	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90012001-GCST90013000/GCST90012107/harmonised/32042192-GCST90012107-EFO_0004696.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90012001-GCST90013000/GCST90012107/harmonised/32042192-GCST90012107-EFO_0004696.h.tsv.gz		32042192-GCST90012107-EFO_0004696.h.tsv.gz	39cb79e55f34b8f492d4f59e61a77731dd0da7f51059f653fe245226d5bf9709	sha256	679056536	GRCh38	EBI GWAS Catalog terms of use		32042192		Ruth KS	European	EUR	af_assigned	sd	0.441782	estimated_from_source_maf	sd	total	analysis_level	189473				selected_ready_source	
971	GCST90012108	GCST90012108	Sex hormone-binding globulin levels adjusted for BMI	Sex hormone-binding globulin levels adjusted for BMI	sex hormone-binding globulin measurement	http://www.ebi.ac.uk/efo/EFO_0004696	source_provided	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90012001-GCST90013000/GCST90012108/harmonised/32042192-GCST90012108-EFO_0004696.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90012001-GCST90013000/GCST90012108/harmonised/32042192-GCST90012108-EFO_0004696.h.tsv.gz		32042192-GCST90012108-EFO_0004696.h.tsv.gz	d89a998621b167c2067eedb3cead6e846a0883ecae0216255271070bf8bceb4f	sha256	678771111	GRCh38	EBI GWAS Catalog terms of use		32042192		Ruth KS	European	EUR	af_assigned	sd	0.349211	estimated_from_source_maf	sd	total	analysis_level	180094				selected_ready_source	
972	GCST90012109	GCST90012109	Sex hormone-binding globulin levels	Sex hormone-binding globulin levels	sex hormone-binding globulin measurement	http://www.ebi.ac.uk/efo/EFO_0004696	source_provided	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90012001-GCST90013000/GCST90012109/harmonised/32042192-GCST90012109-EFO_0004696.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90012001-GCST90013000/GCST90012109/harmonised/32042192-GCST90012109-EFO_0004696.h.tsv.gz		32042192-GCST90012109-EFO_0004696.h.tsv.gz	4b71db9a6ebc8a0d51e715f4b6287d457ab4b4451ccda76e29259ee19ee5b8b7	sha256	678753942	GRCh38	EBI GWAS Catalog terms of use		32042192		Ruth KS	European	EUR	af_assigned	sd	0.373352	estimated_from_source_maf	sd	total	analysis_level	180726				selected_ready_source	
973	GCST90012110	GCST90012110	Sex hormone-binding globulin levels adjusted for BMI	Sex hormone-binding globulin levels adjusted for BMI	sex hormone-binding globulin measurement	http://www.ebi.ac.uk/efo/EFO_0004696	source_provided	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90012001-GCST90013000/GCST90012110/harmonised/32042192-GCST90012110-EFO_0004696.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90012001-GCST90013000/GCST90012110/harmonised/32042192-GCST90012110-EFO_0004696.h.tsv.gz		32042192-GCST90012110-EFO_0004696.h.tsv.gz	0b5230799f2409f8893fe01ce5f3068333dca48eb6b6ef5480b5f5983d397687	sha256	681443417	GRCh38	EBI GWAS Catalog terms of use		32042192		Ruth KS	European	EUR	af_assigned	sd	0.362905	estimated_from_source_maf	sd	total	analysis_level	368929				selected_ready_source	
974	GCST90012111	GCST90012111	Sex hormone-binding globulin levels	Sex hormone-binding globulin levels	sex hormone-binding globulin measurement	http://www.ebi.ac.uk/efo/EFO_0004696	source_provided	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90012001-GCST90013000/GCST90012111/harmonised/32042192-GCST90012111-EFO_0004696.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90012001-GCST90013000/GCST90012111/harmonised/32042192-GCST90012111-EFO_0004696.h.tsv.gz		32042192-GCST90012111-EFO_0004696.h.tsv.gz	27c911dd81a8eb81c79e967efa758371a45935bb89447b49e88b73e5d703274d	sha256	680446870	GRCh38	EBI GWAS Catalog terms of use		32042192		Ruth KS	European	EUR	af_assigned	sd	0.404917	estimated_from_source_maf	sd	total	analysis_level	370125				selected_ready_source	
975	GCST90012112	GCST90012112	Total testosterone levels	Total testosterone levels	testosterone measurement	http://www.ebi.ac.uk/efo/EFO_0004908	source_provided	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90012001-GCST90013000/GCST90012112/harmonised/32042192-GCST90012112-EFO_0004908.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90012001-GCST90013000/GCST90012112/harmonised/32042192-GCST90012112-EFO_0004908.h.tsv.gz		32042192-GCST90012112-EFO_0004908.h.tsv.gz	193d0dc26a77a076cb76bc23dc8e4156bd9e985ea4eb14b68f5301f99b8e4e4a	sha256	679489010	GRCh38	EBI GWAS Catalog terms of use		32042192		Ruth KS	European	EUR	af_assigned	sd	0.962108	estimated_from_source_maf	sd	total	analysis_level	230454				selected_ready_source	
976	GCST90012113	GCST90012113	Total testosterone levels	Total testosterone levels	testosterone measurement	http://www.ebi.ac.uk/efo/EFO_0004908	source_provided	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90012001-GCST90013000/GCST90012113/harmonised/32042192-GCST90012113-EFO_0004908.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90012001-GCST90013000/GCST90012113/harmonised/32042192-GCST90012113-EFO_0004908.h.tsv.gz		32042192-GCST90012113-EFO_0004908.h.tsv.gz	39d1648c10e5d5c38265d6bd6a9ad91ea3b53296d05d635873919eb75b115072	sha256	679298377	GRCh38	EBI GWAS Catalog terms of use		32042192		Ruth KS	European	EUR	af_assigned	sd	0.955604	estimated_from_source_maf	sd	total	analysis_level	194453				selected_ready_source	
977	GCST90012114	GCST90012114	Total testosterone levels	Total testosterone levels	testosterone measurement	http://www.ebi.ac.uk/efo/EFO_0004908	source_provided	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90012001-GCST90013000/GCST90012114/harmonised/32042192-GCST90012114-EFO_0004908.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90012001-GCST90013000/GCST90012114/harmonised/32042192-GCST90012114-EFO_0004908.h.tsv.gz		32042192-GCST90012114-EFO_0004908.h.tsv.gz	5b74d4ed24504f2868d12b174547439df714aad26409c522fd56188e9664b5fc	sha256	678544087	GRCh38	EBI GWAS Catalog terms of use		32042192		Ruth KS	European	EUR	af_assigned	sd	0.598599	estimated_from_source_maf	sd	total	analysis_level	425097				selected_ready_source	
978	GCST90012115	GCST90012115	Age-related hearing impairment (MTAG)	Age-related hearing impairment (MTAG)	presbycusis	MONDO:0043765	source_provided	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90012001-GCST90013000/GCST90012115/harmonised/32986727-GCST90012115-EFO_0005782.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90012001-GCST90013000/GCST90012115/harmonised/32986727-GCST90012115-EFO_0005782.h.tsv.gz		32986727-GCST90012115-EFO_0005782.h.tsv.gz	747c64882d224a6ab103fb7f083f54c7dd99b9fe127684cfc3467da867c1a1b7	sha256	592421519	GRCh38	EBI GWAS Catalog terms of use		32986727		Kalra G	European		unassigned	sd		estimated_from_source_maf	sd	total	analysis_level	330759				excluded: ancestry_unassigned: gate_reason=overlap	true
979	GCST90012174	GCST90012174	Atrial fibrillation (chronic vs. intermittent)	Atrial fibrillation (chronic vs. intermittent)	atrial fibrillation	MONDO:0004981	source_provided	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90012001-GCST90013000/GCST90012174/harmonised/32915819-GCST90012174-EFO_0000275.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90012001-GCST90013000/GCST90012174/harmonised/32915819-GCST90012174-EFO_0000275.h.tsv.gz		32915819-GCST90012174-EFO_0000275.h.tsv.gz	96b2509e0248a531335ee8f91974402720ae383c25a9669ba397c94087f5580e	sha256	12078764	GRCh38	EBI GWAS Catalog terms of use		32915819		Zhou J	European		unassigned	sd		estimated_from_source_maf	sd	total	analysis_level	340				excluded: ancestry_unassigned: gate_reason=overlap	true
980	GCST90012175	GCST90012175	Atrial fibrillation	Atrial fibrillation	atrial fibrillation	MONDO:0004981	source_provided	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90012001-GCST90013000/GCST90012175/harmonised/32915819-GCST90012175-EFO_0000275.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90012001-GCST90013000/GCST90012175/harmonised/32915819-GCST90012175-EFO_0000275.h.tsv.gz		32915819-GCST90012175-EFO_0000275.h.tsv.gz	8614ba18e6f526bb3f7cf3d5ac0340f94d341f039b0aa91518c2fb62c2a71a2a	sha256	12748452	GRCh38	EBI GWAS Catalog terms of use		32915819		Zhou J	European		unassigned	sd		estimated_from_source_maf	sd	total	analysis_level	2798				excluded: ancestry_unassigned: gate_reason=overlap	true
981	GCST90012176	GCST90012176	Coronary artery disease	Coronary artery disease	coronary artery disorder	MONDO:0005010	source_provided	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90012001-GCST90013000/GCST90012176/harmonised/32915819-GCST90012176-EFO_0001645.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90012001-GCST90013000/GCST90012176/harmonised/32915819-GCST90012176-EFO_0001645.h.tsv.gz		32915819-GCST90012176-EFO_0001645.h.tsv.gz	f5e8cfaaa5bbd657dac1644dcc825d254ab6c42b68df80014aead508d2e128f4	sha256	12785314	GRCh38	EBI GWAS Catalog terms of use		32915819		Zhou J	European		unassigned	sd		estimated_from_source_maf	sd	total	analysis_level	2824				excluded: ancestry_unassigned: gate_reason=overlap	true
982	GCST90012177	GCST90012177	Cancer	Cancer	cancer	MONDO:0004992	source_provided	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90012001-GCST90013000/GCST90012177/harmonised/32915819-GCST90012177-EFO_0000311.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90012001-GCST90013000/GCST90012177/harmonised/32915819-GCST90012177-EFO_0000311.h.tsv.gz		32915819-GCST90012177-EFO_0000311.h.tsv.gz	1136d3b62d13eb5800f0f63e9c18cd3dc62bc1ead5c4e4b5f21e9cf6b845d4de	sha256	12570515	GRCh38	EBI GWAS Catalog terms of use		32915819		Zhou J	European		unassigned	sd		estimated_from_source_maf	sd	total	analysis_level	2821				excluded: ancestry_unassigned: gate_reason=overlap	true
983	GCST90012178	GCST90012178	Cardiomyopathy	Cardiomyopathy	cardiomyopathy	MONDO:0004994	source_provided	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90012001-GCST90013000/GCST90012178/harmonised/32915819-GCST90012178-EFO_0000318.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90012001-GCST90013000/GCST90012178/harmonised/32915819-GCST90012178-EFO_0000318.h.tsv.gz		32915819-GCST90012178-EFO_0000318.h.tsv.gz	7d85da86f6b08751676908c0c6c8342a50f4ea420760ca6fc8eee822a1c91d2a	sha256	12733575	GRCh38	EBI GWAS Catalog terms of use		32915819		Zhou J	European		unassigned	sd		estimated_from_source_maf	sd	total	analysis_level	2824				excluded: ancestry_unassigned: gate_reason=overlap	true
984	GCST90012179	GCST90012179	Death	Death	age at death	http://www.ebi.ac.uk/efo/EFO_0005056	source_provided	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90012001-GCST90013000/GCST90012179/harmonised/32915819-GCST90012179-EFO_0005056.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90012001-GCST90013000/GCST90012179/harmonised/32915819-GCST90012179-EFO_0005056.h.tsv.gz		32915819-GCST90012179-EFO_0005056.h.tsv.gz	90a0ab646e7cbc50b2635467a372bbea0bb1ed6b5e404e436b8c373c7eaa6d68	sha256	12789693	GRCh38	EBI GWAS Catalog terms of use		32915819		Zhou J	European		unassigned	sd		estimated_from_source_maf	sd	total	analysis_level	2824				excluded: ancestry_unassigned: gate_reason=overlap	true
985	GCST90012180	GCST90012180	Diabetes mellitus	Diabetes mellitus	diabetes mellitus	MONDO:0005015	source_provided	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90012001-GCST90013000/GCST90012180/harmonised/32915819-GCST90012180-EFO_0000400.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90012001-GCST90013000/GCST90012180/harmonised/32915819-GCST90012180-EFO_0000400.h.tsv.gz		32915819-GCST90012180-EFO_0000400.h.tsv.gz	791bbfaaa490defa9a5ff54c5e65ad89507b88d9bfea194f550da6b432d6d47d	sha256	12786979	GRCh38	EBI GWAS Catalog terms of use		32915819		Zhou J	European		unassigned	sd		estimated_from_source_maf	sd	total	analysis_level	2824				excluded: ancestry_unassigned: gate_reason=overlap	true
986	GCST90012181	GCST90012181	Type 2 diabetes	Type 2 diabetes	type 2 diabetes mellitus	MONDO:0005148	source_provided	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90012001-GCST90013000/GCST90012181/harmonised/32915819-GCST90012181-EFO_0001360.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90012001-GCST90013000/GCST90012181/harmonised/32915819-GCST90012181-EFO_0001360.h.tsv.gz		32915819-GCST90012181-EFO_0001360.h.tsv.gz	55361b9feee66d29657464a2b329394203fa4551e13d1ab24b9f49c9235a6c2f	sha256	12782999	GRCh38	EBI GWAS Catalog terms of use		32915819		Zhou J	European		unassigned	sd		estimated_from_source_maf	sd	total	analysis_level	2824				excluded: ancestry_unassigned: gate_reason=overlap	true
987	GCST90012182	GCST90012182	Arterial hypertension (history of)	Arterial hypertension (history of)	hypertensive disorder	MONDO:0005044	source_provided	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90012001-GCST90013000/GCST90012182/harmonised/32915819-GCST90012182-EFO_0000537.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90012001-GCST90013000/GCST90012182/harmonised/32915819-GCST90012182-EFO_0000537.h.tsv.gz		32915819-GCST90012182-EFO_0000537.h.tsv.gz	7760168f94e252eb5fbdb4058264169a678d0bf648ea6824ac18c342e8095dc4	sha256	12788889	GRCh38	EBI GWAS Catalog terms of use		32915819		Zhou J	European		unassigned	sd		estimated_from_source_maf	sd	total	analysis_level	2824				excluded: ancestry_unassigned: gate_reason=overlap	true
988	GCST90012183	GCST90012183	Treatment with insulin	Treatment with insulin	insulin measurement	http://www.ebi.ac.uk/efo/EFO_0004467	source_provided	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90012001-GCST90013000/GCST90012183/harmonised/32915819-GCST90012183-EFO_0004467.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90012001-GCST90013000/GCST90012183/harmonised/32915819-GCST90012183-EFO_0004467.h.tsv.gz		32915819-GCST90012183-EFO_0004467.h.tsv.gz	f309a2d34688a4b7740fcdc8678e710688d85507f9963c272f0831764932699d	sha256	12587028	GRCh38	EBI GWAS Catalog terms of use		32915819		Zhou J	European		unassigned	sd		estimated_from_source_maf	sd	total	analysis_level	2811				excluded: ancestry_unassigned: gate_reason=overlap	true
989	GCST90012184	GCST90012184	Peripheral vascular disease	Peripheral vascular disease	vascular disorder	MONDO:0005385	source_provided	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90012001-GCST90013000/GCST90012184/harmonised/32915819-GCST90012184-EFO_0004264.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90012001-GCST90013000/GCST90012184/harmonised/32915819-GCST90012184-EFO_0004264.h.tsv.gz		32915819-GCST90012184-EFO_0004264.h.tsv.gz	4445358921d6b5a05d4fab11dafca125c6571d764ed931e64cd75d40e7ace7d3	sha256	12699694	GRCh38	EBI GWAS Catalog terms of use		32915819		Zhou J	European		unassigned	sd		estimated_from_source_maf	sd	total	analysis_level	2824				excluded: ancestry_unassigned: gate_reason=overlap	true
990	GCST90012185	GCST90012185	Arrhythmia	Arrhythmia	cardiac arrhythmia	http://www.ebi.ac.uk/efo/EFO_0004269	source_provided	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90012001-GCST90013000/GCST90012185/harmonised/32915819-GCST90012185-EFO_0004269.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90012001-GCST90013000/GCST90012185/harmonised/32915819-GCST90012185-EFO_0004269.h.tsv.gz		32915819-GCST90012185-EFO_0004269.h.tsv.gz	acaee930a833e768452c1d8aac4894dc107ab81ae9305e9eca543f3373c7767d	sha256	12780523	GRCh38	EBI GWAS Catalog terms of use		32915819		Zhou J	European		unassigned	sd		estimated_from_source_maf	sd	total	analysis_level	2789				excluded: ancestry_unassigned: gate_reason=overlap	true
991	GCST90012186	GCST90012186	Stroke	Stroke	stroke disorder	MONDO:0005098	source_provided	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90012001-GCST90013000/GCST90012186/harmonised/32915819-GCST90012186-EFO_0000712.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90012001-GCST90013000/GCST90012186/harmonised/32915819-GCST90012186-EFO_0000712.h.tsv.gz		32915819-GCST90012186-EFO_0000712.h.tsv.gz	7a84e60bdbcef9df7b436846bcfda57a9256b0cf0a7274d061320d52f4b96739	sha256	12695224	GRCh38	EBI GWAS Catalog terms of use		32915819		Zhou J	European		unassigned	sd		estimated_from_source_maf	sd	total	analysis_level	2824				excluded: ancestry_unassigned: gate_reason=overlap	true
992	GCST90012187	GCST90012187	Valve disease	Valve disease	heart valve disorder	MONDO:0002869	source_provided	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90012001-GCST90013000/GCST90012187/harmonised/32915819-GCST90012187-EFO_0009551.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90012001-GCST90013000/GCST90012187/harmonised/32915819-GCST90012187-EFO_0009551.h.tsv.gz		32915819-GCST90012187-EFO_0009551.h.tsv.gz	a09a024b8d7efb7c06d4cc3f3c7545fc6957134f99e700c6a6f258c9cfeeca43	sha256	12785158	GRCh38	EBI GWAS Catalog terms of use		32915819		Zhou J	European		unassigned	sd		estimated_from_source_maf	sd	total	analysis_level	2824				excluded: ancestry_unassigned: gate_reason=overlap	true
993	GCST90012188	GCST90012188	Venous thrombosis or pulmonary embolism	Venous thrombosis or pulmonary embolism	pulmonary embolism	MONDO:0005279	source_provided	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90012001-GCST90013000/GCST90012188/harmonised/32915819-GCST90012188-EFO_0003827.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90012001-GCST90013000/GCST90012188/harmonised/32915819-GCST90012188-EFO_0003827.h.tsv.gz		32915819-GCST90012188-EFO_0003827.h.tsv.gz	f5513a88793801639c7356db98635d45f5697fcd851b49608459205e5897d30e	sha256	12582728	GRCh38	EBI GWAS Catalog terms of use		32915819		Zhou J	European		unassigned	sd		estimated_from_source_maf	sd	total	analysis_level	2817				excluded: ancestry_unassigned: gate_reason=overlap	true
994	GCST90012189	GCST90012189	Saturated fatty acid levels (palmitic acid C16:0)	Saturated fatty acid levels (palmitic acid C16:0)	fatty acid amount	OBA:VT0010046	source_provided	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90012001-GCST90013000/GCST90012189/harmonised/32915819-GCST90012189-EFO_0005110.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90012001-GCST90013000/GCST90012189/harmonised/32915819-GCST90012189-EFO_0005110.h.tsv.gz		32915819-GCST90012189-EFO_0005110.h.tsv.gz	4c2ca28625f43fa6ec9b616ac51415272fb0031e383abde6101914368e947cad	sha256	12680894	GRCh38	EBI GWAS Catalog terms of use		32915819		Zhou J	European		unassigned	sd		estimated_from_source_maf	sd	total	analysis_level	2776				excluded: ancestry_unassigned: gate_reason=overlap	true
