analysis_id	publication_pmid	trait	study_design	sample_size	readiness_status	data_url	yaml_url	data_file	yaml_file	data_bytes	yaml_bytes	sha256	error	stratum
GCST90320273	39232002	Human milk oligosaccharide concentration (fucosyllacto-N-hexaose)	quantitative	980	ok	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90320001-GCST90321000/GCST90320273/harmonised/GCST90320273.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90320001-GCST90321000/GCST90320273/harmonised/GCST90320273.h.tsv.gz-meta.yaml	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90320001-GCST90321000/GCST90320273/harmonised/GCST90320273.h.tsv.gz	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90320001-GCST90321000/GCST90320273/harmonised/GCST90320273.h.tsv.gz-meta.yaml	199894413	4192	97b23484a892414925f2159194782c765cb0d66808b3df7e62fc4112c7d6801f		quant_decile_3
GCST90399704	36777996	Gout	case-control	541131	ok	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90399001-GCST90400000/GCST90399704/harmonised/GCST90399704.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90399001-GCST90400000/GCST90399704/harmonised/GCST90399704.h.tsv.gz-meta.yaml	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90399001-GCST90400000/GCST90399704/harmonised/GCST90399704.h.tsv.gz	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90399001-GCST90400000/GCST90399704/harmonised/GCST90399704.h.tsv.gz-meta.yaml	1178757655	1691	1993f4f823430e61cdfc29cd4bbe61299b2cfbe576203e9280926c41c8aca82f		case_control_decile_10
GCST90399706	36777996	Cardiomyopathy	case-control	922988	ok	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90399001-GCST90400000/GCST90399706/harmonised/GCST90399706.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90399001-GCST90400000/GCST90399706/harmonised/GCST90399706.h.tsv.gz-meta.yaml	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90399001-GCST90400000/GCST90399706/harmonised/GCST90399706.h.tsv.gz	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90399001-GCST90400000/GCST90399706/harmonised/GCST90399706.h.tsv.gz-meta.yaml	1025407461	1308	21895150b1299c0f2b03c9e15cfcbf22e0d9891ef60556c9e5e5d3a53f2f68ad		case_control_decile_10
GCST90399738	36777996	Thyroid cancer	case-control	617933	ok	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90399001-GCST90400000/GCST90399738/harmonised/GCST90399738.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90399001-GCST90400000/GCST90399738/harmonised/GCST90399738.h.tsv.gz-meta.yaml	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90399001-GCST90400000/GCST90399738/harmonised/GCST90399738.h.tsv.gz	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90399001-GCST90400000/GCST90399738/harmonised/GCST90399738.h.tsv.gz-meta.yaml	1025214548	1510	9f0086532cf9d7842f7a1695ca0fa8ef92846e79e20b24acf9644af8f3397fdb		case_control_decile_9
GCST90399745	36777996	Venous thromboembolism	case-control	1063277	ok	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90399001-GCST90400000/GCST90399745/harmonised/GCST90399745.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90399001-GCST90400000/GCST90399745/harmonised/GCST90399745.h.tsv.gz-meta.yaml	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90399001-GCST90400000/GCST90399745/harmonised/GCST90399745.h.tsv.gz	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90399001-GCST90400000/GCST90399745/harmonised/GCST90399745.h.tsv.gz-meta.yaml	1421192560	1713	9805bf3f4fa294cdb5eb404a85b6f2e28d2cdbf35435317ea24588e92cb762d9		case_control_decile_10
GCST90428601	39406924	Gout	case-control	302431	ok	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90428001-GCST90429000/GCST90428601/harmonised/GCST90428601.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90428001-GCST90429000/GCST90428601/harmonised/GCST90428601.h.tsv.gz-meta.yaml	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90428001-GCST90429000/GCST90428601/harmonised/GCST90428601.h.tsv.gz	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90428001-GCST90429000/GCST90428601/harmonised/GCST90428601.h.tsv.gz-meta.yaml	352409121	802	b5024852bc7f5d62f4a6e8d0037d580e0cdcd0a39a7690b1aa9449a8f03a4a14		case_control_decile_5
GCST90435139	39715278	COVID-19 (severe vs non-severe with positive test)	case-control	634	ok	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90435001-GCST90436000/GCST90435139/harmonised/GCST90435139.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90435001-GCST90436000/GCST90435139/harmonised/GCST90435139.h.tsv.gz-meta.yaml	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90435001-GCST90436000/GCST90435139/harmonised/GCST90435139.h.tsv.gz	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90435001-GCST90436000/GCST90435139/harmonised/GCST90435139.h.tsv.gz-meta.yaml	327768225	1384	ca68d8732594d1b592ec9cbf931e0198df5e23e1a7a3471d6bde11b936b1c2dd		case_control_decile_5
GCST90444373	39250132	Alzheimer's disease	case-control	1152284	ok	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90444001-GCST90445000/GCST90444373/harmonised/GCST90444373.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90444001-GCST90445000/GCST90444373/harmonised/GCST90444373.h.tsv.gz-meta.yaml	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90444001-GCST90445000/GCST90444373/harmonised/GCST90444373.h.tsv.gz	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90444001-GCST90445000/GCST90444373/harmonised/GCST90444373.h.tsv.gz-meta.yaml	18375138	693	d7a867e87dce029176ea100cc0617a88412f26d06028feb6b1c062050b6930c8		case_control_decile_1
GCST90446768	39505872	Retinal arterial vascular density	quantitative	68249	ok	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90446001-GCST90447000/GCST90446768/harmonised/GCST90446768.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90446001-GCST90447000/GCST90446768/harmonised/GCST90446768.h.tsv.gz-meta.yaml	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90446001-GCST90447000/GCST90446768/harmonised/GCST90446768.h.tsv.gz	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90446001-GCST90447000/GCST90446768/harmonised/GCST90446768.h.tsv.gz-meta.yaml	608829458	1192	92064ab4df8ff73bd75d4d1121f91d1d6c76887d9b57a75b79ca4a81e7cd2c68		quant_decile_9
GCST90446774	39505872	Retinal vasculature number of bifurcations	quantitative	67751	ok	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90446001-GCST90447000/GCST90446774/harmonised/GCST90446774.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90446001-GCST90447000/GCST90446774/harmonised/GCST90446774.h.tsv.gz-meta.yaml	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90446001-GCST90447000/GCST90446774/harmonised/GCST90446774.h.tsv.gz	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90446001-GCST90447000/GCST90446774/harmonised/GCST90446774.h.tsv.gz-meta.yaml	608873193	1201	29461faad889d016c900a1e8f246087d8f2d5b54fe5b90897054549b17ac6c9b		quant_decile_10
